0,BEPreN1,BEPreN2,BEPreN3,BEPreN4,BEPreN5,BEPreN6,BEPreN7,BJPreN1,BJPreN2,BJPreN3,BMPre,BMPreN1,BMPreN2,BMPreN3,BMPreN4,BSPre,BSPreN1,CTPre,CTPreN1,DCPre,DJPre,DJPreN1,FHPre,FHPreN1,FJPre,FJPreN1,GDPre,GDPreN1,HAPre,HAPreN2,HAPreN3,HAPreN4,HDPre,HDPreN1,HDPreN2,HDPreN3,HDPreN4,HDPreN5,HDPreN6,HGPre,HGPreN1,HGPreN2,HWPre,HWPreN1,HWPreN2,HWPreN3,HWPreN4,HWPreN5,HWPreN6,KEPre,KEPreN1,KEPreN2,LDPre,LDPreN1,LDPreN2,LDPreN3,LDPreN4,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LLPre,LLPreN1,LLPreN2,LLPreN3,LLPreN4,LLPreN5,LLPreN6,LTPre,LTPreN1,LTPreN2,MBPre,MBPreN1,MCPre,MCPreN1,MCPreN2,MCPreN3,MKPre,MKPreN1,MKPreN2,MKPreN3,MKPreN4,MKPreN5,MSPre,MSPreN1,NJPre,NJPreN1,NJPreN2,NJPreN3,NJPreN4,NJPreN5,NJPreN6,OWPre,OWPreN1,OWPreN2,OWPreN3,OWPreN4,OWPreN5,OWPreN6,OWPreN7,RSPre,RSPreN1,RSPreN2,RSPreN3,RSPreN4,RSPreN5,RSPreN7,SBPreN2,SBPreN1,SBPreN3,SEPre,SEPreN1,SEPreN2,SEPreN3,SEPreN4,SJPre,SJPreN1,SJPreN3,SJPreN4,SLPre,SLPreN1,SLPreN2,SLPreN3,SLPreN4,TBPre,TBPreN1,TCPre,TCPreN1,THPre,THPreN1,THPreN2,WEPre,WEPreN1,WEPreN2,WEPreN3,WMPre,WMPreN1,WMPreN2,WMPreN3,WMPreN4,WMPreN5,WMPreN6
diagnostics_Image-original_Mean,-1277.137412,-1197.291595,-1141.520721,-1154.836041,-1188.489662,-1126.253482,-1137.374241,-1104.142686,-996.640066,-1123.891351,-750.979529568341,-735.0409326047313,-766.6068585713705,-751.3797557511518,-807.7786780520603,-1082.1194300354764,-1133.019764460688,-1151.2708183392729,-1054.022019838032,-1136.304430420719,-1056.6818935316437,-1057.4064416439733,-1099.815900331385,-633.1996481730675,-1012.8518688614304,-1105.9700160827638,-1079.1389864442847,-1104.8214828028824,-986.8960001458062,-1092.549978358405,-1082.5537699318718,-997.301003841824,-1204.314255,-764.7614852,-1171.405513,-1227.183694,-1190.85532,-1120.142927,-1153.719511,-1126.541246253492,-1233.317827316228,-1084.3440914488676,-1208.2541821295094,-1156.0690231478943,-1118.0036366888817,-1187.7914853777204,-970.142593473196,-1059.2918431545825,-1159.1366320343018,-889.2997184393232,-868.0425695727486,-912.364355529914,-1345.0551126574383,-764.6597851012564,-1139.1938856632337,-1376.089190943101,-1121.5712351185653,-1136.9792656622992,-1151.4934026082358,-1151.3880220943468,-1179.741686390422,-1170.1082405120487,-1134.5035839721936,-1143.1611046846738,-1187.4790706989047,-1122.1413475708944,-1076.0839174431321,-1125.308428980604,-1177.6789341937706,-1131.2596785103765,-1054.0516977812115,-1075.542399677321,-1127.4991755012338,-1144.830894,-1045.066132,-1251.0808446547564,-1136.6425270931916,-1137.5931746758356,-1149.579172856099,-1117.666939,-1139.682294,-1184.377025,-1092.510088,-931.3049226,-1128.541371,-1088.955527165251,-1119.8252099891265,-1155.1883270877531,-977.3610449017219,-1095.6422306114519,-1018.6135020414988,-1129.307159597832,-1140.3178945208128,-1143.4300264818914,-1061.8684031651492,-1188.509997121605,-1104.294559870784,-1127.9593483438298,-1072.8259489898087,-1066.7185040209667,-1030.2185147655252,-518.4531821491562,-1146.3114832809993,-1152.1521763567064,-1079.642233611232,-1139.690414625714,-1109.8109675101025,-980.0033507522271,-977.1539036030672,-1045.2156367507278,-971.0189603638539,-1011.7876217315801,-1136.2006091186265,-1274.291879744757,-1085.290666970862,-934.7661529093872,-1025.8209990616683,-845.8929470650293,-1046.887881328782,-1092.1118553129963,-1056.661535935778,-1127.306964757661,-1157.3113654027532,-1077.5702414532755,-1111.1185039006746,-993.1367958035089,-1128.6891186014811,-1118.208511164159,-614.6910031292889,-1068.4315298710908,-1099.6039725650442,-1102.4019084522206,-1109.2148025741906,-1079.8977111295524,-994.7448560345557,-1112.8059860811395,-1042.0958631134033,-1157.2656162541086,-1152.1292129572291,-1164.611107312716,-1121.7605747153543,-1132.3109668384898,-1082.0115337025036,-1134.3709781618047
diagnostics_Image-original_Minimum,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024,-1024,-3024,-3024,-3024,-3024,-3024,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024,-3024,-3024.0,-3024.0,-3024.0,-3024.0,-3024,-3024,-3024,-3024,-3024,-3024,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071,3071,3071,3071,3071,3071,3071,3071,3071,2703,3071.0,3071.0,3071.0,3070.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,2917.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071,3071,3071,3071,3071,3071,3071,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,2196.0,3071.0,3071.0,3071.0,3071.0,3071.0,1606.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071,3071,3071.0,3071.0,3071.0,3071.0,3071,3071,3071,3071,3071,3071,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,2556.0,1596.0,1389.0,1620.0,3071.0,2917.0,1606.0,3071.0,2733.0,2911.0,3071.0
diagnostics_Mask-original_VoxelNum,483,352,393,402,131,171,126,3607,6812,3930,3000,2868,895,531,498,913,387,488,52,746,26750,26881,1019,53,1582,791,5979,8391,45104,20499,7044,21265,1509,530,194,313,386,421,379,868,316,468,12236,9146,12198,10772,27184,18276,12450,1439,678,467,395,245,318,1594,2315,28366,16595,17126,12909,14109,19634,2442,1404,2473,2529,1743,1537,1810,1023,550,756,1834,1482,675,687,638,695,1703,768,888,697,1352,859,175,52,58824,8114,4482,5468,3456,3157,2829,10744,6086,6586,8997,4169,4022,4753,6577,926,194,18,9,14,61,57,1781,2679,1105,1132,910,883,1179,1204,3296,855,1933,1899,3769,700,543,366,345,256,432,14806,13479,2344,2251,1927,4615,4549,1175,3108,3049,2609,2581,2697,2276,2202,1713
diagnostics_Mask-original_VolumeNum,1,4,5,5,8,3,6,1,1,1,2,1,1,1,1,2,1,1,1,1,13,9,1,1,1,1,5,3,5,5,2,8,1,1,1,11,5,10,10,2,1,1,2,2,2,2,1,6,3,2,1,1,1,1,1,1,1,3,8,5,5,6,7,13,10,9,10,10,8,7,1,1,1,1,1,1,2,2,5,1,9,11,7,8,8,1,1,1,20,5,15,3,3,9,1,1,1,3,1,2,2,3,1,1,1,1,1,1,1,1,1,2,9,11,12,14,11,6,6,8,3,1,1,1,2,1,2,2,1,1,1,1,1,3,3,2,1,3,1,4,2,3,1,4
original_shape_Elongation,0.853922572,0.634071586,0.623772633,0.663897739,0.638319577,0.580051239,0.597466578,0.657673581,0.524788113,0.694632678,0.6491735837484142,0.6490937945395926,0.5834029004158937,0.6082952687632163,0.6205487610363997,0.6228682203068883,0.507939858139647,0.6661564436678915,0.8672422188547327,0.579034198251863,0.6184676978790372,0.5996050477346359,0.9210838568942209,0.4104818447142976,0.533878914039881,0.24788352288657453,0.6867837289588661,0.7850442360604925,0.8215919329006653,0.8133855951216623,0.6279918651243712,0.9592615797939482,0.681627007,0.88380799,0.230034269,0.764941096,0.820220006,0.77483198,0.709952533,0.8505005581061447,0.570947145701796,0.6019671034649265,0.7907668248230498,0.8021498447742821,0.8331902629250786,0.8020060455102405,0.8348273927466345,0.8926990075102991,0.803408510527766,0.939722455493473,0.6372443252250579,0.7361325270235152,0.7632056624631794,0.7060077422604044,0.6859340104078282,0.6573575949634692,0.660811205588577,0.4856694936278912,0.6175674751409349,0.5480131960962338,0.5941757324147726,0.5611816202112471,0.5451558326597761,0.43658092063026915,0.49710212876387366,0.47992022103949533,0.403348172506065,0.40612359063368253,0.4521166506999266,0.4936821221441735,0.7489190018070464,0.6172149292292957,0.6888682829009463,0.63681555,0.423915743,0.7503240563197937,0.6495623209806601,0.6897034724792129,0.6887759700872758,0.801689249,0.883213263,0.598493225,0.665167669,0.632122182,0.674278291,0.8228922564436765,0.9164324102038446,0.7479350309185945,0.8726363841625486,0.9039829610466269,0.943887915020187,0.9196158297047057,0.8504039429173503,0.6417832067427116,0.9590788858215615,0.8806075178897349,0.9048638990747924,0.8486065531159032,0.9281406664003752,0.927170018301997,0.8899553654396211,0.6629927530264441,0.6198694686903437,0.7374158698148686,0.8108514575798366,0.7745966692414835,0.2878551835766341,0.22759984501384675,0.29448071487465205,0.5769989045086565,0.5096354741615842,0.5994952532672617,0.5587704470907012,0.5578082479125204,0.6284999893202251,0.533198360573208,0.6306531360163727,0.5489926244256167,0.6427887459287366,0.7200252955303347,0.8911305002707679,0.822106895088572,0.7005655818438952,0.7309840593900663,0.712875032181623,0.4881808350655813,0.505921018532363,0.738124727045807,0.8270795193727116,0.8158665928634437,0.73015692889743,0.7516684478862049,0.7723032320504628,0.7233919243379935,0.7778513045673922,0.36087034355584446,0.6448358997402871,0.6834739031352975,0.6982787107599226,0.7613662848392749,0.7435982076588041,0.7325092446890253,0.48987349426728455,0.4712064745688789
original_shape_Flatness,0.748839369,0.504312476,0.471244682,0.602880096,0.582819822,0.337760875,0.412919179,0.505186345,0.393222072,0.419835949,0.4720066345255969,0.39952130807570996,0.3504459250988997,0.3189015703895054,0.3601299080502304,0.4209370665883347,0.2495425380981975,0.49352838796220966,0.5957866761866142,0.4771877468311392,0.30716464026219015,0.30814339262420176,0.7271444149480807,0.09935597829040102,0.22191141468514258,0.1428091162006704,0.486989278013335,0.6226342095684543,0.41461531188267553,0.3983637562408742,0.3746921318698748,0.48871693450813125,0.443765746,0.47121235,0.135683702,0.475322286,0.405570443,0.371881355,0.431653661,0.4893793173587684,0.29330366653519974,0.23800296837665574,0.3226451231623013,0.2822681836793857,0.2723926151032562,0.29071170502572075,0.2983070872157998,0.35692449421402206,0.3832616669270859,0.6160096733239591,0.5051400516149059,0.5210429152245845,0.43006253328942706,0.3391033845056661,0.3667828573041839,0.3939495432903108,0.3955745444290088,0.3985375060336197,0.3829636774462788,0.336429887759863,0.27574216299286836,0.25744370640581604,0.25326446806697167,0.32810879614616545,0.3373675065326702,0.29769136050764966,0.22983767335545308,0.24371264188737324,0.2913135570494722,0.3355723572137613,0.5503447612889307,0.44434937811031383,0.5305952115069925,0.533914357,0.232818192,0.5817876340989254,0.42415377361689444,0.40103143720590767,0.3790281894582769,0.413195547,0.540652272,0.396545572,0.444603294,0.417092744,0.476217046,0.5932873403405241,0.6989656189661035,0.6015177225251844,0.43549397302286935,0.5358012449990309,0.4778882536725268,0.523746480836505,0.5176478334226781,0.4241200853154257,0.5531793432320641,0.3107618341622915,0.33224824805911296,0.49597696296050925,0.2934739599223307,0.2924451368783901,0.3082131650642474,0.3573039830781418,0.5534604318382552,0.5338567485053489,0.3841073854228735,0.5163977794943222,0.20331320553898916,0.14370276304490456,0.14960740018032498,0.41166192200346846,0.30436515717692,0.4049005406992243,0.4483112385626419,0.3901063088504911,0.4273439463243002,0.3916143273087495,0.4992847148553188,0.3747008256799171,0.5399918076742936,0.4539332631658259,0.4557922351246757,0.7130706578999867,0.2267013122372471,0.1829776037041046,0.2017458133055058,0.17446029995184165,0.20028019251722312,0.4604645767885287,0.4577107842503247,0.5084291757639073,0.36621358554757205,0.3473734484742669,0.30760983703325273,0.6013844192069278,0.5432005874154403,0.15728396385067941,0.20076240053224934,0.41864528281726443,0.4096739856365905,0.4446741317266751,0.4352473736197187,0.4032178062983555,0.3376018362376722,0.34467341323657064
original_shape_LeastAxisLength,9.136165471,8.807378006,9.443455182,11.95792788,9.486517273,8.134532526,6.788648491,14.57208487,15.85581492,13.95036051,11.661421668333299,10.344703088712208,7.122167429380712,5.940416994173161,6.247148823935057,8.218050517234545,6.045955689293964,6.690360852651854,3.2274982259575675,9.881828723607955,20.17006493396827,21.029135023836997,9.448927903905851,2.025048936836258,7.025773912961754,5.284070693845658,16.49717234528213,20.151814822955185,25.01804166781706,19.42565244139318,15.517230862678932,21.096778720735763,10.13326076,6.420757647,3.71578865,11.5945954,10.74895554,11.45148588,12.48477293,9.001152485933812,5.225292100685288,4.893426007756919,14.631864199207241,12.555616811637604,13.009198959111712,12.915782924196973,17.093253468641652,16.86617523497498,16.403378786493782,10.044591417124693,8.497922540647428,6.750488266973959,5.357089914296301,4.113682095764593,4.727497217639178,8.212586750687924,9.281755573422242,25.56002641661127,21.251239156325035,20.528589381806317,17.17706738411697,16.960415485318034,18.507623533219515,13.604712693389189,10.924160854486392,12.954963603958314,12.39165956462661,12.031101129507341,11.589382460975399,13.718731155881992,8.894777053665921,7.116169848152516,8.098909845595461,11.63108731,8.23341794,14.886034182329409,11.620833664289746,10.875613576532063,10.57565279630726,10.532247,15.10701714,14.77085936,14.10900583,16.6396464,12.9616247,5.049927969918182,3.6303086001286657,35.088818630262,22.863586926088598,20.860749503116185,21.510208572070926,19.749397422278633,20.19348858084894,18.605953686918127,18.320684363891964,11.461194341815071,11.870015262755764,17.439244284357937,10.072984192231056,10.128691015243016,11.039980305730891,14.381974622906407,9.717159931033095,5.374097552578068,1.751483711834196,1.5396007178390017,2.0912508672882772,2.9120491031562095,2.015567889462595,11.656253731747961,10.536436293973347,8.972657709159492,10.739940387846477,14.042521689901195,15.709411521166391,19.188554800765232,18.54492667509957,14.487352056717814,14.649555456179016,14.020098729845344,13.069269419213747,14.976916937502118,4.495716049020904,3.5989526554096494,3.4257496950464414,3.52501699926936,3.916784298205815,6.021905459456598,18.5108865266181,20.31553126415535,9.38043571476153,8.92105359839111,7.9335036982822915,26.998809121305456,25.424317471364123,6.912569997028919,9.746609380263303,13.92029805543594,13.720818432890317,13.443588641681275,14.93821982974404,14.103385762243557,13.14731124837497,12.563519506307548
original_shape_MajorAxisLength,12.20043424,17.46412873,20.03938833,19.8346702,16.27692969,24.08370279,16.44062286,28.8449698,40.32279992,33.22812292,24.70605456648703,25.892744340814655,20.323156639275393,18.62774456368325,17.346931438595526,19.52322845750142,24.228156591541996,13.556182411869987,5.41720443735912,20.70847122381121,65.66532175302298,68.24464040831539,12.994568492395723,20.38175227782848,31.660263726993147,37.00093407496945,33.875843042339824,32.36541538076159,60.34037082281336,48.763603960113485,41.41328184619538,43.16768507718808,22.83470697,13.62603856,27.3856668,24.39312386,26.50330104,30.79338539,28.92312534,18.392997347157984,17.815297580189622,20.560357045685006,45.34971443484959,44.481162021076024,47.75900019969447,44.42814892181327,57.30086277258354,47.25418263074302,42.799424523753544,16.30589883909542,16.822903892653176,12.955724125073854,12.456537130359695,12.131055848237512,12.889089889276162,20.846798506467294,23.463986002486514,64.1345570483273,55.49152676315134,61.01892289801321,62.293945901052595,65.8800936410651,73.07627348786042,41.46402916710767,32.380595768574736,43.51810405873507,53.91483208004119,49.36592963063141,39.783189558209386,40.88158890615383,16.16219082895234,16.014807713730754,15.2638200834738,21.7845562,35.36415205,25.58671465299352,27.397690147125633,27.119104807107753,27.902021776856305,25.48973985,27.94220598,37.24883195,31.73392106,39.89435598,27.21789319,8.511774357126376,5.193829999104317,58.333806829428696,52.50035211138949,38.933745857858014,45.01095895696739,37.70793340842264,39.010090020719225,43.86954150752032,33.11888736996142,36.88095860519862,35.726344178175694,35.161399796196754,34.323263961466694,34.634499733380466,35.81930156497239,40.25136943340789,17.557099608292983,10.066553560714654,4.559880331136938,2.981423969999719,10.285858519343645,20.26439187008705,13.472380958650364,28.31511273867529,34.61774794362804,22.160152450437764,23.9564379922316,35.99665365904917,36.76058045583014,48.99860261148447,37.14298900673029,38.663784715258224,27.12921797697934,30.885814870816542,28.673743017229828,21.003412174621747,19.83101026039079,19.668815103894143,16.980524348521634,20.205267331549997,19.55652353324451,13.077890815089122,40.44232114158444,39.9574458598517,25.61465790717638,25.681449280519704,25.79079971823098,44.89442735631559,46.804657543419744,43.94961716244322,48.547981865248026,33.250817880377376,33.49204224322323,30.232450422694157,34.32121762277596,34.97709064913653,38.943245673341785,36.450503647301716
original_shape_Maximum2DDiameterColumn,14.76482306,16.4924225,18.43908891,20.02498439,15.8113883,18.11077028,15.65247584,30.59411708,47.07440918,36.40054945,30.083217912982647,32.984845004941285,26.248809496813376,18.027756377319946,19.6468827043885,19.849433241279208,21.02379604162864,13.152946437965905,5.830951894845301,21.470910553583888,64.77653896280658,67.26812023536856,15.297058540778355,6.082762530298219,29.154759474226502,16.15549442140351,44.598206241955516,43.41658669218482,80.09993757800315,75.0066663703967,63.0317380372777,81.30190649671138,27.29468813,17,9.055385138,26.17250466,29.06888371,30.06659276,28.86173938,21.18962010041709,17.0,17.88854381999832,54.20332093147061,53.665631459994955,56.462376853972415,51.97114584074513,70.51950084905593,57.706152185014034,51.86520991955976,21.02379604162864,13.892443989449804,15.264337522473747,11.40175425099138,10.198039027185569,12.165525060596439,18.027756377319946,18.027756377319946,51.42956348249516,50.695167422546305,55.97320787662612,61.032778078668514,63.25345840347388,73.60027173862879,47.43416490252569,36.89173349139343,50.32891812864648,55.154328932550705,50.695167422546305,42.05948168962618,42.5440947723653,18.384776310850235,13.341664064126334,13.601470508735444,23.43074903,24.08318916,26.627053911388696,24.351591323771842,25.0,26.248809496813376,29.15475947,30.47950131,28.31960452,29.73213749,38.27531842,31.40063694,9.055385138137417,6.324555320336759,63.150613615387776,63.50590523722971,49.64876634922564,55.326304774492215,47.67598976424087,42.720018726587654,49.040799340956916,47.12748667179272,49.39635614091387,44.41846462902562,47.75981574503821,42.7551166528639,42.42640687119285,43.174066289845804,53.33854141237835,20.12461179749811,9.848857801796104,5.0990195135927845,3.1622776601683795,3.605551275463989,11.180339887498949,12.36931687685298,27.85677655436824,29.832867780352597,20.12461179749811,30.01666203960727,31.622776601683793,33.28663395418648,43.01162633521314,34.0147027033899,39.56008088970496,25.709920264364882,35.38361202590826,33.83784863137726,25.179356624028344,22.20360331117452,21.2602916254693,17.804493814764857,21.18962010041709,19.924858845171276,15.524174696260024,44.04543109109048,49.16299421312742,28.0178514522438,24.758836806279895,27.202941017470888,40.792156108742276,41.78516483155236,21.0,36.40054944640259,32.28002478313795,32.57299494980466,31.78049716414141,33.83784863137726,34.0147027033899,33.37663853655727,31.575306807693888
