,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,e8538daffd65cb9198a196399ab1a0c8f86b1d5a,ce95da837175dd11bbe67beb792cd5df549b3afe,6d121e94f075956b65993826fd067bca8658b5eb,ec5ed423640e8b07956cc9a6ec46ad67ca2fd65f,61b7f5957d02fcbe7ed6b7c5e6a765b1e8021761,70493bcf037ed1883a5cefe9b24525d540a58c2a,14d686c0d37aec26415a5ee0d6eab7ff5db4d81c
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Image-original_Mean,-1204.314255,-764.7614852,-1171.405513,-1227.183694,-1190.85532,-1120.142927,-1153.719511
diagnostics_Image-original_Minimum,-3024,-1024,-3024,-3024,-3024,-3024,-3024
diagnostics_Image-original_Maximum,3071,3071,3071,3071,3071,3071,3071
diagnostics_Mask-original_Hash,f5a9f5dc7a2be2f5b16130d8b2c2318ec4c6da22,1fd399cb59e7f5701e49e49ee179eb9ba7cfd744,e7adc3cd37cd46e68dcde13426b2f73c9cb6b154,c7841f644bc684d295d080a2b04d454c942e93b5,ee5753e613bfbad991f09fd1a572be18fe749cf6,fa8aa5957065690c563d551e990131e9cf4abfe5,c4ff4ffc0cb1f70edcea017da483bd856f237c97
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 301, 141, 27, 21, 14)","(201, 326, 106, 18, 17, 9)","(156, 288, 144, 12, 26, 7)","(216, 287, 151, 26, 26, 16)","(170, 310, 121, 29, 24, 16)","(154, 290, 157, 30, 35, 16)","(169, 304, 115, 29, 25, 16)"
diagnostics_Mask-original_VoxelNum,1509,530,194,313,386,421,379
diagnostics_Mask-original_VolumeNum,1,1,1,11,5,10,10
diagnostics_Mask-original_CenterOfMassIndex,"(194.8727634194831, 310.012591119947, 147.80914512922465)","(211.14905660377357, 331.59622641509435, 109.79245283018868)","(162.30927835051546, 299.5257731958763, 147.39175257731958)","(228.71565495207668, 298.7667731629393, 159.33226837060704)","(184.8678756476684, 320.56476683937825, 128.67357512953367)","(169.70546318289786, 309.75296912114015, 165.2042755344418)","(183.37203166226914, 315.0369393139842, 123.4089709762533)"
diagnostics_Mask-original_CenterOfMass,"(194.8727634194831, 310.012591119947, 147.80914512922465)","(211.14905660377357, 331.59622641509435, 109.79245283018868)","(162.30927835051546, 299.5257731958763, 147.39175257731958)","(228.71565495207668, 298.7667731629393, 159.33226837060704)","(184.8678756476684, 320.56476683937825, 128.67357512953367)","(169.70546318289786, 309.75296912114015, 165.2042755344418)","(183.37203166226914, 315.0369393139842, 123.4089709762533)"
