,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,251793129652d383e22d1e030d974b641ac3fbbf,a4705d82f491e80a07c1f51195ecb0baad5d808c
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Image-original_Mean,-574.7753595536755,-513.6912162433971
diagnostics_Image-original_Minimum,-1024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,9a0fe537f5ba30348dbe99e684a65708cf5cf58a,08359979277516bac53ab5e656e153719afd4f94
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Mask-original_BoundingBox,"(205, 304, 54, 36, 38, 9)","(255, 320, 42, 39, 43, 8)"
diagnostics_Mask-original_VoxelNum,3349,4022
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(222.56195879366976, 322.03881755747983, 58.41415347865034)","(274.4788662357036, 341.1941819990055, 45.67926404773744)"
diagnostics_Mask-original_CenterOfMass,"(222.56195879366976, 322.03881755747983, 58.41415347865034)","(274.4788662357036, 341.1941819990055, 45.67926404773744)"
original_shape_Elongation,0.6824753477090599,0.6335239957538941
original_shape_Flatness,0.17010045478506078,0.15050176841254567
original_shape_LeastAxisLength,5.996309451705377,6.04950930488737
original_shape_MajorAxisLength,35.25157801184202,40.19560280717
original_shape_Maximum2DDiameterColumn,34.52535300326414,38.2099463490856
original_shape_Maximum2DDiameterRow,33.13608305156178,38.118237105091836
original_shape_Maximum2DDiameterSlice,33.60059523282288,40.22437072223753
original_shape_Maximum3DDiameter,44.82186966202994,50.49752469181039
original_shape_MeshVolume,3307.0416666666665,3980.1666666666665
original_shape_MinorAxisLength,24.058332960924933,25.464878902134778
original_shape_Sphericity,0.4794429522650576,0.45477776903112827
original_shape_SurfaceArea,2238.928871631151,2670.6628779068856
original_shape_SurfaceVolumeRatio,0.6770186460601448,0.6709927250718695
original_shape_VoxelVolume,3349.0,4022.0
original_firstorder_10Percentile,-853.1999999999999,-887.0
original_firstorder_90Percentile,130.40000000000055,105.0
original_firstorder_Energy,805253710.0,1392866820.0
original_firstorder_Entropy,5.462646164496003,5.348034840305386
original_firstorder_InterquartileRange,737.0,831.0
original_firstorder_Kurtosis,1.5643563835355558,1.4827122989160144
original_firstorder_Maximum,332.0,272.0
original_firstorder_MeanAbsoluteDeviation,348.3460954772646,362.95026533578005
original_firstorder_Mean,-303.69304269931325,-433.04226752859273
original_firstorder_Median,-234.0,-506.5
original_firstorder_Minimum,-999.0,-987.0
original_firstorder_Range,1331.0,1259.0
original_firstorder_RobustMeanAbsoluteDeviation,295.61993055355265,316.0656359708344
original_firstorder_RootMeanSquared,490.3529511702865,588.4827856956982
original_firstorder_Skewness,-0.2342065311480201,0.249701187138675
original_firstorder_TotalEnergy,805253710.0,1392866820.0
original_firstorder_Uniformity,0.028649670228635477,0.030553981940698607
original_firstorder_Variance,148216.55253744245,158786.3835938638
