,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,251793129652d383e22d1e030d974b641ac3fbbf,a4705d82f491e80a07c1f51195ecb0baad5d808c
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Image-original_Mean,-574.7753595536755,-513.6912162433971
diagnostics_Image-original_Minimum,-1024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,e09e8e7e12fc86ed674bc9ca6397e3373a6c5561,57504ad0b284a4192766c3fbe4082c143af2029c
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Mask-original_BoundingBox,"(250, 172, 54, 43, 34, 9)","(299, 168, 40, 49, 38, 8)"
diagnostics_Mask-original_VoxelNum,3329,3889
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(270.775608290778, 188.1994592970862, 58.42895764493842)","(321.5356132681923, 186.58241193108768, 44.00025713551042)"
diagnostics_Mask-original_CenterOfMass,"(270.775608290778, 188.1994592970862, 58.42895764493842)","(321.5356132681923, 186.58241193108768, 44.00025713551042)"
original_shape_Elongation,0.6814669190179384,0.6838713270441326
original_shape_Flatness,0.16938751693453302,0.1416443096159183
original_shape_LeastAxisLength,5.984128677808067,5.592674142557766
original_shape_MajorAxisLength,35.328038252788645,39.48393096569019
original_shape_Maximum2DDiameterColumn,38.3275357934736,42.2965719651132
original_shape_Maximum2DDiameterRow,32.2490309931942,36.124783736376884
original_shape_Maximum2DDiameterSlice,34.655446902326915,39.56008088970496
original_shape_Maximum3DDiameter,45.044422518220834,50.46781152378217
original_shape_MeshVolume,3257.2083333333335,3838.75
original_shape_MinorAxisLength,24.07488938307575,27.001928266425473
original_shape_Sphericity,0.4515929338743423,0.4320798139964028
original_shape_SurfaceArea,2353.0654733427345,2743.974262153951
original_shape_SurfaceVolumeRatio,0.7224178598777791,0.7148093160935072
original_shape_VoxelVolume,3329.0,3889.0
original_firstorder_10Percentile,-912.0,-909.0
original_firstorder_90Percentile,-4.0,-41.0
original_firstorder_Energy,1886230814.0,2179766206.0
original_firstorder_Entropy,4.492760532935033,4.454363548340549
original_firstorder_InterquartileRange,331.0,342.0
original_firstorder_Kurtosis,3.7483616955446504,3.7226059445174218
original_firstorder_Maximum,331.0,317.0
original_firstorder_MeanAbsoluteDeviation,288.1125113593902,282.5228291570907
original_firstorder_Mean,-660.42234905377,-660.415530984829
original_firstorder_Median,-851.0,-850.0
original_firstorder_Minimum,-984.0,-977.0
original_firstorder_Range,1315.0,1294.0
original_firstorder_RobustMeanAbsoluteDeviation,185.40587541127363,183.96857764245325
original_firstorder_RootMeanSquared,752.7322444145167,748.6623377484489
original_firstorder_Skewness,1.4636207420492382,1.443650101899535
original_firstorder_TotalEnergy,1886230814.0,2179766206.0
original_firstorder_Uniformity,0.08511392235559576,0.08997726245032754
original_firstorder_Variance,130448.15265161623,124346.62239699886
