,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,251793129652d383e22d1e030d974b641ac3fbbf,a4705d82f491e80a07c1f51195ecb0baad5d808c
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Image-original_Mean,-574.7753595536755,-513.6912162433971
diagnostics_Image-original_Minimum,-1024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,fcf51f011f6ecef2282e3d5c621afe418bcad4eb,51d3ff115595830fa3ba6bf2ff81ea10a0185dc8
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 124)","(512, 512, 110)"
diagnostics_Mask-original_BoundingBox,"(206, 309, 55, 34, 31, 8)","(256, 327, 42, 40, 34, 8)"
diagnostics_Mask-original_VoxelNum,1655,1630
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(221.48882175226586, 322.93172205438066, 58.699093655589124)","(272.3460122699386, 342.19877300613496, 46.262576687116564)"
diagnostics_Mask-original_CenterOfMass,"(221.48882175226586, 322.93172205438066, 58.699093655589124)","(272.3460122699386, 342.19877300613496, 46.262576687116564)"
original_shape_Elongation,0.5284382276361779,0.45799786352040023
original_shape_Flatness,0.1562462393567882,0.12083496735368003
original_shape_LeastAxisLength,5.339014493799115,5.020604729488979
original_shape_MajorAxisLength,34.17051518025646,41.54927037629623
original_shape_Maximum2DDiameterColumn,33.24154027718932,35.12833614050059
original_shape_Maximum2DDiameterRow,26.019223662515376,32.14031735997639
original_shape_Maximum2DDiameterSlice,31.78049716414141,39.395431207184416
original_shape_Maximum3DDiameter,39.408120990476064,45.32107677449864
original_shape_MeshVolume,1613.2916666666667,1565.2916666666667
original_shape_MinorAxisLength,18.057006479269834,19.02947706317513
original_shape_Sphericity,0.43266959503909824,0.36730410761152366
original_shape_SurfaceArea,1537.4571045692614,1774.9598000344756
original_shape_SurfaceVolumeRatio,0.9529938921372524,1.1339482844205662
original_shape_VoxelVolume,1655.0,1630.0
original_firstorder_10Percentile,-142.0,-241.0
original_firstorder_90Percentile,207.0,188.0
original_firstorder_Energy,27497419.0,59935256.0
original_firstorder_Entropy,4.093185888312252,4.56508181056048
original_firstorder_InterquartileRange,130.0,205.0
original_firstorder_Kurtosis,2.833173406001907,5.847891267550656
original_firstorder_Maximum,332.0,272.0
original_firstorder_MeanAbsoluteDeviation,92.63208550487855,143.03760021077196
original_firstorder_Mean,41.94984894259819,-5.662576687116564
original_firstorder_Median,59.0,52.0
original_firstorder_Minimum,-249.0,-855.0
original_firstorder_Range,581.0,1127.0
original_firstorder_RobustMeanAbsoluteDeviation,59.94569455322179,88.41030860569799
original_firstorder_RootMeanSquared,128.89823382335175,191.7553016360212
original_firstorder_Skewness,-0.36782599681659955,-1.5252301758044815
original_firstorder_TotalEnergy,27497419.0,59935256.0
original_firstorder_Uniformity,0.0785224669362273,0.058252851067033005
original_firstorder_Variance,14854.964856472649,36738.030930784
