,Pre,PreN1,PreN2,PreN3
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8b41fa82fa32d3077e4c0058a605a1b3de055fee,ae0ed9bf1695b0af19c78e16ba61d41cb573b538,6d23f338e5f56ecb94bfaaf35a55d55152815043,5bf30e246bfbf4d06ec94ab2e27a639a6307822f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Image-original_Mean,-516.543109,-1104.142686,-996.640066,-1123.891351
diagnostics_Image-original_Minimum,-1024,-3024,-3024,-3024
diagnostics_Image-original_Maximum,3071,3071,3071,2703
diagnostics_Mask-original_Hash,e60d3b807c1a887408fcd2a2ed33cda878f396ac,016189275e23574266287e1b1e5f63e39bb5ec99,77ead9f1b9bdd2c0d1b35479c7502dfe08229460,d19bada8abed56f26026eabed3ec144f1ab1735b
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Mask-original_BoundingBox,"(210, 203, 134, 42, 36, 17)","(236, 199, 168, 34, 27, 22)","(228, 190, 144, 50, 34, 22)","(221, 221, 177, 41, 23, 26)"
diagnostics_Mask-original_VoxelNum,7522,5469,10158,7948
diagnostics_Mask-original_VolumeNum,1,1,1,1
