,Pre,PreN1,PreN2,PreN3
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8b41fa82fa32d3077e4c0058a605a1b3de055fee,ae0ed9bf1695b0af19c78e16ba61d41cb573b538,6d23f338e5f56ecb94bfaaf35a55d55152815043,5bf30e246bfbf4d06ec94ab2e27a639a6307822f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Image-original_Mean,-516.543109,-1104.142686,-996.640066,-1123.891351
diagnostics_Image-original_Minimum,-1024,-3024,-3024,-3024
diagnostics_Image-original_Maximum,3071,3071,3071,2703
diagnostics_Mask-original_Hash,798a5815c8b55184cefd6f10625bb74f4c06a8d7,28e34444464693270c8a49d8951c5e40c73f95e7,b29df10d5c30508981ae740e5d6e64ec93a780bd,4ed307e7bb4f6b1203c699f4bd2df4bdc909da3c
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 223)","(512, 512, 273)","(512, 512, 256)","(512, 512, 297)"
diagnostics_Mask-original_BoundingBox,"(170, 326, 134, 43, 36, 17)","(210, 298, 174, 34, 26, 20)","(202, 315, 159, 40, 32, 20)","(204, 309, 191, 31, 22, 20)"
diagnostics_Mask-original_VoxelNum,7493,5049,7166,4171
diagnostics_Mask-original_VolumeNum,1,1,1,1
