,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,480e410716cd762db97c2e7979b49e5b0a8bce54,220c97793a3984c73cdcfac9e5e3c316ed996378
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 293)","(512, 512, 285)"
diagnostics_Image-original_Mean,-1151.2708183392729,-1054.022019838032
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,4c06aac7ee1c0115d3a7937b38abd25f8534fdfd,03699d484b64ad0088fc4f48f4528ef85d17754f
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 293)","(512, 512, 285)"
diagnostics_Mask-original_BoundingBox,"(298, 285, 186, 38, 29, 18)","(246, 272, 177, 40, 35, 17)"
diagnostics_Mask-original_VoxelNum,8522,10390
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(318.57181412813895, 299.7142689509505, 194.13623562544004)","(267.27959576515883, 289.5311838306064, 185.08046198267564)"
diagnostics_Mask-original_CenterOfMass,"(318.57181412813895, 299.7142689509505, 194.13623562544004)","(267.27959576515883, 289.5311838306064, 185.08046198267564)"
original_shape_Elongation,0.679548423702191,0.7494985244646153
original_shape_Flatness,0.4888863236803707,0.4399377986985007
original_shape_LeastAxisLength,16.4522841640898,15.73469273739541
original_shape_MajorAxisLength,33.65257600219995,35.765721390488544
original_shape_Maximum2DDiameterColumn,38.63935817272331,40.311288741492746
original_shape_Maximum2DDiameterRow,26.92582403567252,32.55764119219941
original_shape_Maximum2DDiameterSlice,38.07886552931954,41.340053217188775
original_shape_Maximum3DDiameter,40.718546143004666,43.45112196480086
original_shape_MeshVolume,8425.166666666666,10293.416666666666
original_shape_MinorAxisLength,22.868554975813158,26.80635540858369
original_shape_Sphericity,0.6863587857381946,0.6866093647758658
original_shape_SurfaceArea,2917.3280055660953,3332.8372292321515
original_shape_SurfaceVolumeRatio,0.3462635364957483,0.32378337894597536
original_shape_VoxelVolume,8522.0,10390.0
original_firstorder_10Percentile,-908.0,-854.0
original_firstorder_90Percentile,167.0,235.0
original_firstorder_Energy,4147668151.0,5253385612.0
original_firstorder_Entropy,4.993791601443577,4.168819245030256
original_firstorder_InterquartileRange,683.0,276.0
original_firstorder_Kurtosis,2.249672950577563,3.1928551322567076
original_firstorder_Maximum,320.0,329.0
original_firstorder_MeanAbsoluteDeviation,361.44237389693535,323.75668393667195
original_firstorder_Mean,-559.0125557380896,-588.1222329162656
original_firstorder_Median,-784.0,-800.0
original_firstorder_Minimum,-1014.0,-934.0
original_firstorder_Range,1334.0,1263.0
original_firstorder_RobustMeanAbsoluteDeviation,281.5950245513044,217.09089188739443
original_firstorder_RootMeanSquared,697.6397792258692,711.0691980583423
original_firstorder_Skewness,0.9418160720768028,1.3804047492086011
original_firstorder_TotalEnergy,4147668151.0,5253385612.0
original_firstorder_Uniformity,0.04722773658536424,0.10056406498808268
original_firstorder_Variance,174206.22408548882,159731.64357691974
