,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,07f7016659606467e03afcbb1d7b8198a089629c,b6d3694d627b99b722336c332828e663b875ae77
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 246)","(512, 512, 220)"
diagnostics_Image-original_Mean,-1073.821210582082,-420.4600327405063
diagnostics_Image-original_Minimum,-3024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,dc353edd69bddb8039ea075edad7f889d53a138e,9c4bae528d093bd1900c9c9f10972d22d7377663
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 246)","(512, 512, 220)"
diagnostics_Mask-original_BoundingBox,"(276, 349, 100, 34, 42, 32)","(272, 358, 107, 44, 56, 26)"
diagnostics_Mask-original_VoxelNum,15180,20583
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(292.3935441370224, 370.08820816864295, 116.47470355731225)","(293.38609532138173, 387.0589321284555, 119.97531943837147)"
diagnostics_Mask-original_CenterOfMass,"(292.3935441370224, 370.08820816864295, 116.47470355731225)","(293.38609532138173, 387.0589321284555, 119.97531943837147)"
original_shape_Elongation,0.8350194441747701,0.7811780750804641
original_shape_Flatness,0.7301250874041835,0.45920741265245274
original_shape_LeastAxisLength,24.609910175578232,20.448963065001085
original_shape_MajorAxisLength,33.70643003526141,44.53099514854241
original_shape_Maximum2DDiameterColumn,35.0,44.181444068749045
original_shape_Maximum2DDiameterRow,42.42640687119285,55.226805085936306
original_shape_Maximum2DDiameterSlice,40.049968789001575,52.46903848937962
original_shape_Maximum3DDiameter,43.0,56.542019772908716
original_shape_MeshVolume,15101.0,20519.625
original_shape_MinorAxisLength,28.14552447315976,34.786637071555845
original_shape_Sphericity,0.661518402766686,0.6013368741492574
original_shape_SurfaceArea,4466.2805433398535,6027.620508967864
original_shape_SurfaceVolumeRatio,0.2957605816396168,0.29374905774193555
original_shape_VoxelVolume,15180.0,20583.0
original_firstorder_10Percentile,-765.0,-891.0
original_firstorder_90Percentile,127.0,208.0
original_firstorder_Energy,2613860428.0,8584644385.0
original_firstorder_Entropy,5.149682526565585,5.392932553913995
original_firstorder_InterquartileRange,635.0,839.0
original_firstorder_Kurtosis,2.1813241314933314,1.856251335879021
original_firstorder_Maximum,1266.0,795.0
original_firstorder_MeanAbsoluteDeviation,323.5771297959835,394.2870453804042
original_firstorder_Mean,-191.11212121212122,-472.8912694942428
original_firstorder_Median,-4.0,-703.0
original_firstorder_Minimum,-992.0,-1024.0
original_firstorder_Range,2258.0,1819.0
original_firstorder_RobustMeanAbsoluteDeviation,264.34327126605626,326.44752263166015
original_firstorder_RootMeanSquared,414.9591173094142,645.8130516207353
original_firstorder_Skewness,-0.36216752597622637,0.6822790148223251
original_firstorder_TotalEnergy,2613860428.0,8584644385.0
original_firstorder_Uniformity,0.04551984877126654,0.03171857272520788
original_firstorder_Variance,135667.22616401163,193448.34487980994
original_glcm_Autocorrelation,1314.6191607757562,759.4454970754621
