,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,07f7016659606467e03afcbb1d7b8198a089629c,b6d3694d627b99b722336c332828e663b875ae77
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 246)","(512, 512, 220)"
diagnostics_Image-original_Mean,-1073.821210582082,-420.4600327405063
diagnostics_Image-original_Minimum,-3024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,440f799f8b058dc6654172b4d1a11f23707d6f28,0a8539f29934630301b7c7baeb3594cc5fb25c21
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 246)","(512, 512, 220)"
diagnostics_Mask-original_BoundingBox,"(270, 205, 100, 42, 34, 32)","(257, 177, 104, 54, 44, 26)"
diagnostics_Mask-original_VoxelNum,15106,20632
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(289.86468952734015, 221.5161525221766, 116.4575003309943)","(282.8811070182241, 198.07120007754943, 117.50794881737107)"
diagnostics_Mask-original_CenterOfMass,"(289.86468952734015, 221.5161525221766, 116.4575003309943)","(282.8811070182241, 198.07120007754943, 117.50794881737107)"
original_shape_Elongation,0.8364018992792286,0.8166069148551814
original_shape_Flatness,0.7283063544882586,0.48364506560833137
original_shape_LeastAxisLength,24.541700352292953,20.878903759645226
original_shape_MajorAxisLength,33.69694662287696,43.169888921297336
original_shape_Maximum2DDiameterColumn,42.42640687119285,54.147945482723536
original_shape_Maximum2DDiameterRow,35.0,44.181444068749045
original_shape_Maximum2DDiameterSlice,40.11234224026316,52.15361924162119
original_shape_Maximum3DDiameter,42.8485705712571,54.59853477887479
original_shape_MeshVolume,14928.0,20503.791666666668
original_shape_MinorAxisLength,28.184190155285073,35.25282980666149
original_shape_Sphericity,0.6461091636844125,0.6014848190007195
original_shape_SurfaceArea,4537.806520130563,6023.037598264464
original_shape_SurfaceVolumeRatio,0.30397953645033243,0.29375237986134095
original_shape_VoxelVolume,15106.0,20632.0
original_firstorder_10Percentile,-854.0,-902.0
original_firstorder_90Percentile,177.0,359.0
original_firstorder_Energy,5668203119.0,8660457353.0
original_firstorder_Entropy,5.454987742581403,5.608034608878104
original_firstorder_InterquartileRange,782.75,1009.0
original_firstorder_Kurtosis,1.9025136498259216,2.0056650938021443
original_firstorder_Maximum,1191.0,2506.0
original_firstorder_MeanAbsoluteDeviation,371.17021076129316,477.4261044856141
original_firstorder_Mean,-450.08254998014036,-382.66823381155484
original_firstorder_Median,-640.0,-662.0
original_firstorder_Minimum,-1024.0,-1024.0
original_firstorder_Range,2215.0,3530.0
original_firstorder_RobustMeanAbsoluteDeviation,306.9937952261813,406.9384535144797
original_firstorder_RootMeanSquared,612.5590522929265,647.8877210436237
original_firstorder_Skewness,0.5937237120549974,0.6061064936388151
original_firstorder_TotalEnergy,5668203119.0,8660457353.0
original_firstorder_Uniformity,0.031028115383011468,0.026556839167307274
original_firstorder_Variance,172654.2907493827,273323.52191064553
