,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,3e1ff7a8d53709658421e6baa6936889b9dfc831,092b141173d43482f042f7bfa603fb5e77ba24e2
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 214)"
diagnostics_Image-original_Mean,-1056.6818935316437,-1057.4064416439733
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,bae73d8f92e90d22ab41f13e224d10af62c46627,d681f080795d924ea7253c14a639ee77a2c08eeb
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 245)","(512, 512, 214)"
diagnostics_Mask-original_BoundingBox,"(277, 287, 74, 79, 70, 31)","(286, 291, 43, 79, 75, 32)"
diagnostics_Mask-original_VoxelNum,40231,44397
diagnostics_Mask-original_VolumeNum,1,2
diagnostics_Mask-original_CenterOfMassIndex,"(311.47557853396637, 320.13333001913946, 87.12716561855285)","(318.3231975133455, 327.26650449354685, 57.22598373763993)"
diagnostics_Mask-original_CenterOfMass,"(311.47557853396637, 320.13333001913946, 87.12716561855285)","(318.3231975133455, 327.26650449354685, 57.22598373763993)"
original_shape_Elongation,0.6775487612858043,0.6400939501070462
original_shape_Flatness,0.38165473296683744,0.4016176209506764
original_shape_LeastAxisLength,24.66931480600787,26.952770259712956
original_shape_MajorAxisLength,64.63778036823513,67.11052716241025
original_shape_Maximum2DDiameterColumn,65.62011886609167,67.26812023536856
original_shape_Maximum2DDiameterRow,64.1248781675256,67.1863081289633
original_shape_Maximum2DDiameterSlice,88.41379982785493,89.37561188601732
original_shape_Maximum3DDiameter,91.32907532653553,90.74690077352504
original_shape_MeshVolume,40039.166666666664,44162.25
original_shape_MinorAxisLength,43.7952480207616,42.957042425153396
original_shape_Sphericity,0.4299954367899769,0.4085717557399648
original_shape_SurfaceArea,13162.65902047447,14788.242998417627
original_shape_SurfaceVolumeRatio,0.3287445797774963,0.3348616295233514
original_shape_VoxelVolume,40231.0,44397.0
original_firstorder_10Percentile,-869.0,-885.0
original_firstorder_90Percentile,51.0,50.0
original_firstorder_Energy,9932651642.0,12828814079.0
original_firstorder_Entropy,5.364955401648015,5.417836725557502
original_firstorder_InterquartileRange,681.0,720.0
original_firstorder_Kurtosis,1.6892725620089897,1.5626030125430659
original_firstorder_Maximum,871.0,869.0
original_firstorder_MeanAbsoluteDeviation,325.81415987137007,338.1809923345959
original_firstorder_Mean,-341.5847977927469,-388.9918462959209
original_firstorder_Median,-238.0,-352.0
original_firstorder_Minimum,-1024.0,-1024.0
original_firstorder_Range,1895.0,1893.0
original_firstorder_RobustMeanAbsoluteDeviation,276.91313143066105,292.3251926227223
original_firstorder_RootMeanSquared,496.8807688184512,537.5470008642617
original_firstorder_Skewness,-0.2707981870516528,-0.08407063850754412
original_firstorder_TotalEnergy,9932651642.0,12828814079.0
original_firstorder_Uniformity,0.02995906180768553,0.02806776844457822
original_firstorder_Variance,130210.32433850339,137642.12165345313
