,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,3e1ff7a8d53709658421e6baa6936889b9dfc831,092b141173d43482f042f7bfa603fb5e77ba24e2
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 214)"
diagnostics_Image-original_Mean,-1056.6818935316437,-1057.4064416439733
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,415ce5a0a9c1d84d8bcf4abb47de60a2c51f933a,879cd616b1efa488e001df04097fe4561bc9dee5
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 245)","(512, 512, 214)"
diagnostics_Mask-original_BoundingBox,"(232, 335, 74, 79, 70, 31)","(234, 338, 37, 79, 77, 36)"
diagnostics_Mask-original_VoxelNum,40231,51482
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(266.47557853396637, 368.13333001913946, 87.12716561855285)","(268.62806417777085, 372.9825181616876, 51.723884075987726)"
diagnostics_Mask-original_CenterOfMass,"(266.47557853396637, 368.13333001913946, 87.12716561855285)","(268.62806417777085, 372.9825181616876, 51.723884075987726)"
original_shape_Elongation,0.6775487612858043,0.7087754187900366
original_shape_Flatness,0.38165473296683744,0.42780858968030155
original_shape_LeastAxisLength,24.66931480600787,28.665468298277755
original_shape_MajorAxisLength,64.63778036823513,67.0053593820995
original_shape_Maximum2DDiameterColumn,65.62011886609167,65.62011886609167
original_shape_Maximum2DDiameterRow,64.1248781675256,75.05997601918082
original_shape_Maximum2DDiameterSlice,88.41379982785493,93.50935782048768
original_shape_Maximum3DDiameter,91.32907532653553,94.26558226627574
original_shape_MeshVolume,40039.166666666664,51243.625
original_shape_MinorAxisLength,43.7952480207616,47.49175165722448
original_shape_Sphericity,0.4299954367899769,0.4358610819714567
original_shape_SurfaceArea,13162.65902047447,15307.206045205989
original_shape_SurfaceVolumeRatio,0.3287445797774963,0.2987143482766098
original_shape_VoxelVolume,40231.0,51482.0
original_firstorder_10Percentile,-917.0,-941.0
original_firstorder_90Percentile,66.0,74.0
original_firstorder_Energy,15238227959.0,22004049350.0
original_firstorder_Entropy,4.909246739469508,4.811141094388029
original_firstorder_InterquartileRange,755.0,818.0
original_firstorder_Kurtosis,1.3160228989896654,1.2922962665932969
original_firstorder_Maximum,138.0,150.0
original_firstorder_MeanAbsoluteDeviation,367.5645567061005,395.8567842218303
original_firstorder_Mean,-476.76341627103477,-504.1234606270153
original_firstorder_Median,-591.0,-715.0
original_firstorder_Minimum,-1024.0,-1024.0
original_firstorder_Range,1162.0,1174.0
original_firstorder_RobustMeanAbsoluteDeviation,330.95282154361666,361.5739467583553
original_firstorder_RootMeanSquared,615.4415585361082,653.7679107002284
original_firstorder_Skewness,0.17315031738283276,0.2720310094492851
original_firstorder_TotalEnergy,15238227959.0,22004049350.0
original_firstorder_Uniformity,0.04341673807488483,0.04736130021888756
original_firstorder_Variance,151464.9568789259,173272.017506784
