,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 250)"
diagnostics_Image-original_Mean,-1012.8518688614304,-1105.9700160827638
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,b9958401c45ff599e3d7f495ad1054d35574ad0e,52d374fc7e760ab0a9148499a1f1ebad5e2a5279
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 250)"
diagnostics_Mask-original_BoundingBox,"(270, 148, 102, 40, 33, 20)","(246, 168, 130, 35, 31, 23)"
diagnostics_Mask-original_VoxelNum,7060,6851
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(291.1042492917847, 162.89617563739378, 110.9798866855524)","(264.8638155013867, 182.2926580061305, 140.34666472047877)"
diagnostics_Mask-original_CenterOfMass,"(291.1042492917847, 162.89617563739378, 110.9798866855524)","(264.8638155013867, 182.2926580061305, 140.34666472047877)"
original_shape_Elongation,0.6369579663080052,0.6488369570763696
original_shape_Flatness,0.31313340264029815,0.367377523506723
original_shape_LeastAxisLength,12.128669941188438,13.319745949721183
original_shape_MajorAxisLength,38.733235863440775,36.25628977674088
original_shape_Maximum2DDiameterColumn,38.3275357934736,37.57658845611187
original_shape_Maximum2DDiameterRow,32.55764119219941,29.5296461204668
original_shape_Maximum2DDiameterSlice,44.41846462902562,39.408120990476064
original_shape_Maximum3DDiameter,44.76605857119878,40.01249804748511
original_shape_MeshVolume,6980.416666666667,6794.916666666667
original_shape_MinorAxisLength,24.671443144105528,23.524420733619635
original_shape_Sphericity,0.5995323211521137,0.6134315770462494
original_shape_SurfaceArea,2946.1787169259137,2828.1824290035383
original_shape_SurfaceVolumeRatio,0.4220634465840263,0.41622032583233126
original_shape_VoxelVolume,7060.0,6851.0
original_firstorder_10Percentile,-878.0,-876.0
original_firstorder_90Percentile,35.0,-48.0
original_firstorder_Energy,2593397904.0,3521504033.0
original_firstorder_Entropy,5.282322185590604,4.553616456952021
original_firstorder_InterquartileRange,641.0,257.0
original_firstorder_Kurtosis,1.7448727269793056,3.6974079694719606
original_firstorder_Maximum,240.0,154.0
original_firstorder_MeanAbsoluteDeviation,304.0936023882705,235.01221055364067
original_firstorder_Mean,-499.34844192634563,-650.9092103342578
original_firstorder_Median,-599.0,-792.0
original_firstorder_Minimum,-981.0,-973.0
original_firstorder_Range,1221.0,1127.0
original_firstorder_RobustMeanAbsoluteDeviation,253.95246769547902,148.28639741804994
original_firstorder_RootMeanSquared,606.0831738282575,716.9470981775224
original_firstorder_Skewness,0.46558380849883785,1.4452777477257623
original_firstorder_TotalEnergy,2593397904.0,3521504033.0
original_firstorder_Uniformity,0.030122663692028664,0.06681015789923006
original_firstorder_Variance,117987.94714346474,90330.34148720303
