,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 250)"
diagnostics_Image-original_Mean,-1012.8518688614304,-1105.9700160827638
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,8c1c26f8d33fb9e9eafad887c93e8033331478a8,4b4c5e62a8c62003c264da7787c569f926bc3155
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 250)"
diagnostics_Mask-original_BoundingBox,"(304, 323, 102, 40, 33, 20)","(271, 324, 126, 32, 31, 19)"
diagnostics_Mask-original_VoxelNum,7060,5599
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(325.1042492917847, 337.89617563739375, 110.9798866855524)","(287.74406143954275, 338.25808180032146, 134.44775852830864)"
diagnostics_Mask-original_CenterOfMass,"(325.1042492917847, 337.89617563739375, 110.9798866855524)","(287.74406143954275, 338.25808180032146, 134.44775852830864)"
original_shape_Elongation,0.6369579663080052,0.6711295635413707
original_shape_Flatness,0.31313340264029815,0.36299601919104474
original_shape_LeastAxisLength,12.128669941188438,12.176197367189946
original_shape_MajorAxisLength,38.733235863440775,33.54361128897564
original_shape_Maximum2DDiameterColumn,38.3275357934736,33.24154027718932
original_shape_Maximum2DDiameterRow,32.55764119219941,29.120439557122072
original_shape_Maximum2DDiameterSlice,44.41846462902562,38.41874542459709
original_shape_Maximum3DDiameter,44.76605857119878,38.7556447501522
original_shape_MeshVolume,6980.416666666667,5543.416666666667
original_shape_MinorAxisLength,24.671443144105528,22.51210920397161
original_shape_Sphericity,0.5995323211521137,0.61454268442246
original_shape_SurfaceArea,2946.1787169259137,2464.8117377885196
original_shape_SurfaceVolumeRatio,0.4220634465840263,0.4446376460585715
original_shape_VoxelVolume,7060.0,5599.0
original_firstorder_10Percentile,-890.0,-898.0
original_firstorder_90Percentile,-18.0,-50.0
original_firstorder_Energy,3340276819.0,2803799653.0
original_firstorder_Entropy,5.084470034348652,4.954690242988636
original_firstorder_InterquartileRange,390.25,333.0
original_firstorder_Kurtosis,2.958594594172979,3.23711452528201
original_firstorder_Maximum,368.0,266.0
original_firstorder_MeanAbsoluteDeviation,261.07849232398945,248.40428072512245
original_firstorder_Mean,-609.3024079320113,-636.5938560457224
original_firstorder_Median,-750.0,-772.0
original_firstorder_Minimum,-1024.0,-1024.0
original_firstorder_Range,1392.0,1290.0
original_firstorder_RobustMeanAbsoluteDeviation,183.82902761634014,167.91709843941112
original_firstorder_RootMeanSquared,687.8422989224847,707.6495829924165
original_firstorder_Skewness,1.1124995504398492,1.2316913325124856
original_firstorder_TotalEnergy,3340276819.0,2803799653.0
original_firstorder_Uniformity,0.040853349276537,0.045619958479432746
original_firstorder_Variance,101877.6038752217,95516.19475417894
