,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,e8538daffd65cb9198a196399ab1a0c8f86b1d5a,ce95da837175dd11bbe67beb792cd5df549b3afe,6d121e94f075956b65993826fd067bca8658b5eb,ec5ed423640e8b07956cc9a6ec46ad67ca2fd65f,61b7f5957d02fcbe7ed6b7c5e6a765b1e8021761,70493bcf037ed1883a5cefe9b24525d540a58c2a,14d686c0d37aec26415a5ee0d6eab7ff5db4d81c
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Image-original_Mean,-1204.3142550729772,-764.7614851693738,-1171.4055128267228,-1227.1836943312912,-1190.8553201444856,-1120.1429268898817,-1153.7195113272037
diagnostics_Image-original_Minimum,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d1cbd93c0a4cdc540acd9bbb7e761d30a03c36ad,3a180b2d834704b44cf2ac6dd3e5916f71615eca,a3549de8f5cff9edcca1387e34b042b3c12200f4,a44fdb6d372fcf497f837f65c84042bdcf45016c,bc5d0eabe580cc188e1ee0d1832c5363905b525b,c629203de592e7ce5fda814ba1b6b6a309b28f8f,253962ed9f55bcbfa9725bf6710ec93a45df3631
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 296, 138, 29, 28, 17)","(194, 317, 102, 30, 29, 14)","(146, 283, 139, 31, 32, 18)","(216, 285, 151, 27, 28, 17)","(169, 304, 121, 31, 32, 17)","(154, 289, 157, 31, 38, 18)","(169, 299, 115, 33, 31, 18)"
diagnostics_Mask-original_VoxelNum,4660,4147,6302,4653,5719,7183,6610
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
