,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,e8538daffd65cb9198a196399ab1a0c8f86b1d5a,ce95da837175dd11bbe67beb792cd5df549b3afe,6d121e94f075956b65993826fd067bca8658b5eb,ec5ed423640e8b07956cc9a6ec46ad67ca2fd65f,61b7f5957d02fcbe7ed6b7c5e6a765b1e8021761,70493bcf037ed1883a5cefe9b24525d540a58c2a,14d686c0d37aec26415a5ee0d6eab7ff5db4d81c
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Image-original_Mean,-1204.3142550729772,-764.7614851693738,-1171.4055128267228,-1227.1836943312912,-1190.8553201444856,-1120.1429268898817,-1153.7195113272037
diagnostics_Image-original_Minimum,-3024.0,-1024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,85789a4858700bd17ab336d2cdaaac23e30969c0,ae38cc45dfa327a42fe52f92cb1ee91e44a21988,76d43340d7ad5df9179b67adf081f8bf4a9b5793,b4e8f4214da740ed9c36f52fabe38387d14b6ab9,4c0fe36376746e09eafb5620342010976910abc7,6e5d9cc8363badaba43f667aae467ab293d7d51d,821c0a63e58d47d99fe97ca927098cf5588dfbf7
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(308, 346, 138, 29, 28, 17)","(327, 360, 107, 30, 28, 14)","(274, 360, 131, 32, 29, 17)","(334, 340, 148, 27, 25, 17)","(302, 367, 125, 31, 30, 17)","(302, 360, 155, 34, 33, 17)","(307, 360, 130, 34, 32, 17)"
diagnostics_Mask-original_VoxelNum,4660,3905,5714,4036,5543,6337,5697
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(323.0098712446352, 360.3311158798283, 146.20450643776823)","(342.66120358514723, 374.512676056338, 113.85915492957747)","(290.77353867693387, 374.31186559327966, 138.95729786489323)","(347.92294350842417, 352.2224975222993, 156.41625371655104)","(317.7274039328883, 382.502615911961, 133.1836550604366)","(320.28593971911, 377.3656304244911, 162.9267792330756)","(324.54590135158855, 376.3880989994734, 138.3387747937511)"
diagnostics_Mask-original_CenterOfMass,"(323.0098712446352, 360.3311158798283, 146.20450643776823)","(342.66120358514723, 374.512676056338, 113.85915492957747)","(290.77353867693387, 374.31186559327966, 138.95729786489323)","(347.92294350842417, 352.2224975222993, 156.41625371655104)","(317.7274039328883, 382.502615911961, 133.1836550604366)","(320.28593971911, 377.3656304244911, 162.9267792330756)","(324.54590135158855, 376.3880989994734, 138.3387747937511)"
