,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,52853f919b891bdcb816139338a1be0ab8a22830,f28301daf9c2c7cd61da3d8268d934f01ebb5641
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 189)","(512, 512, 230)"
diagnostics_Image-original_Mean,-1001.4364982080207,-625.2266676529595
diagnostics_Image-original_Minimum,-3024.0,-2048.0
diagnostics_Image-original_Maximum,3071.0,6167.0
diagnostics_Mask-original_Hash,d20b2161d58511f407fe4220a555c66d65658624,dafa5107b6a2b0242231eeac20b600c4a3aaad06
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 189)","(512, 512, 230)"
diagnostics_Mask-original_BoundingBox,"(269, 278, 98, 68, 49, 50)","(286, 279, 134, 92, 74, 45)"
diagnostics_Mask-original_VoxelNum,37081,59840
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(304.89924759310696, 304.12041207087185, 124.06251179849518)","(330.7398897058824, 313.9839906417112, 155.6847426470588)"
diagnostics_Mask-original_CenterOfMass,"(304.89924759310696, 304.12041207087185, 124.06251179849518)","(330.7398897058824, 313.9839906417112, 155.6847426470588)"
original_shape_Elongation,0.9255792348230893,0.8320640097982094
original_shape_Flatness,0.443589308696419,0.3270176713696443
original_shape_LeastAxisLength,24.38842826618434,23.967806482672923
original_shape_MajorAxisLength,54.979747681148794,73.29208352040682
original_shape_Maximum2DDiameterColumn,66.03029607687671,92.26592003551474
original_shape_Maximum2DDiameterRow,65.29931086925804,80.05623023850174
original_shape_Maximum2DDiameterSlice,68.8839603971781,86.81589716175259
original_shape_Maximum3DDiameter,69.86415389883427,93.72299611087985
original_shape_MeshVolume,36689.583333333336,59383.541666666664
original_shape_MinorAxisLength,50.888112789484225,60.98370490045497
original_shape_Sphericity,0.45412587501553264,0.3961722978985167
original_shape_SurfaceArea,11758.079617794749,18579.930439295622
original_shape_SurfaceVolumeRatio,0.32047460204085393,0.3128801334145579
original_shape_VoxelVolume,37081.0,59840.0
original_firstorder_10Percentile,-769.0,-808.0
original_firstorder_90Percentile,67.0,133.0
original_firstorder_Energy,6596191248.0,14447356778.0
original_firstorder_Entropy,4.813897230616909,5.164406481503822
original_firstorder_InterquartileRange,650.0,781.0
original_firstorder_Kurtosis,1.6535469033962888,1.3305859018749024
original_firstorder_Maximum,937.0,295.0
original_firstorder_MeanAbsoluteDeviation,311.4662712592159,361.8567804866007
original_firstorder_Mean,-249.68593080014023,-304.92429812834223
original_firstorder_Median,-50.0,-202.0
original_firstorder_Minimum,-1018.0,-1000.0
original_firstorder_Range,1955.0,1295.0
original_firstorder_RobustMeanAbsoluteDeviation,269.59864710696854,324.45753579887366
original_firstorder_RootMeanSquared,421.7653530087206,491.3584244079173
original_firstorder_Skewness,-0.5161943917985834,-0.17307379190051803
original_firstorder_TotalEnergy,6596191248.0,14447356778.0
original_firstorder_Uniformity,0.05611106728850272,0.034987431390124106
original_firstorder_Variance,115542.9489590383,148454.27364756883
