,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,52853f919b891bdcb816139338a1be0ab8a22830,f28301daf9c2c7cd61da3d8268d934f01ebb5641
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 189)","(512, 512, 230)"
diagnostics_Image-original_Mean,-1001.4364982080207,-625.2266676529595
diagnostics_Image-original_Minimum,-3024.0,-2048.0
diagnostics_Image-original_Maximum,3071.0,6167.0
diagnostics_Mask-original_Hash,b46220cc85b26622b97d6cadf5d5915e6a80d914,35bd1e9bb86bcd2377d1a8bdf1970e75b937b367
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 189)","(512, 512, 230)"
diagnostics_Mask-original_BoundingBox,"(267, 143, 98, 50, 70, 50)","(274, 111, 127, 62, 88, 54)"
diagnostics_Mask-original_VoxelNum,36968,61798
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(293.41471001947633, 175.85252109932915, 124.04985392772127)","(308.9334282662869, 151.51864137997993, 155.1910903265478)"
diagnostics_Mask-original_CenterOfMass,"(293.41471001947633, 175.85252109932915, 124.04985392772127)","(308.9334282662869, 151.51864137997993, 155.1910903265478)"
original_shape_Elongation,0.9240683182493666,0.7706997989176713
original_shape_Flatness,0.44401809167874806,0.4260368859639575
original_shape_LeastAxisLength,24.411055432359014,29.840208060025287
original_shape_MajorAxisLength,54.977614403200214,70.04137210445613
original_shape_Maximum2DDiameterColumn,65.85590330410783,71.449282711585
original_shape_Maximum2DDiameterRow,69.06518659932803,85.21150157109074
original_shape_Maximum2DDiameterSlice,69.1158447825099,88.68483523128404
original_shape_Maximum3DDiameter,70.14271166700073,88.70738413458037
original_shape_MeshVolume,36647.166666666664,61281.166666666664
original_shape_MinorAxisLength,50.80307168292738,53.980871396822124
original_shape_Sphericity,0.43597288008912005,0.4299041637601633
original_shape_SurfaceArea,12238.219889263923,17484.92697813883
original_shape_SurfaceVolumeRatio,0.3339472325536014,0.2853230107913333
original_shape_VoxelVolume,36968.0,61798.0
original_firstorder_10Percentile,-860.0,-851.0
original_firstorder_90Percentile,-569.0,-542.0
original_firstorder_Energy,22302839753.0,35461280254.0
original_firstorder_Entropy,3.5483420599426956,3.816317050529747
original_firstorder_InterquartileRange,73.0,86.0
original_firstorder_Kurtosis,10.667471847815602,11.099122889618837
original_firstorder_Maximum,166.0,232.0
original_firstorder_MeanAbsoluteDeviation,116.2522971550847,119.67454275203185
original_firstorder_Mean,-753.3056968188704,-731.7857535842584
original_firstorder_Median,-819.0,-795.0
original_firstorder_Minimum,-968.0,-966.0
original_firstorder_Range,1134.0,1198.0
original_firstorder_RobustMeanAbsoluteDeviation,40.07303720107149,44.12342715835375
original_firstorder_RootMeanSquared,776.7246789035278,757.5128343876097
original_firstorder_Skewness,2.8419131841343845,2.8568711459866254
original_firstorder_TotalEnergy,22302839753.0,35461280254.0
original_firstorder_Uniformity,0.14581238013461023,0.11405578809778766
original_firstorder_Variance,35831.75395802451,38315.30511306928
