,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,78d17b80a424e0fd8b623a4b4020013bcc52574e,870b2555d79275e1879c80e1a6201c97e4516be8,bdbea334508b725aa7fc42cffdeb11921b565840,a2633cbcab7907859ddbd7c31df51dd0c81cb48a,4553fe20c9fc86d05f44895623461e2fc7affdff,e844206d752062579e0441e5f7db21522adaad6e,cc48e4509fd142c6840c59ab6aff0fbd029d8d58
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Image-original_Mean,-1136.9792656622992,-1151.4934026082358,-1151.3880220943468,-1179.741686390422,-1170.1082405120487,-1134.5035839721936,-663.3366115920397
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-1024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,b58c32f15380303943b79115c5bf9093253c1f6a,282a31f1016a24d7c0a791892a308d930b2b74e6,f1fe9d74c08de3437e8f193f716f6c56fa4515f2,a6e3bcb137177fb9c029312f1a587fe4dee28297,9d79235d0a853f54cb7f78aeb15b6adbba1fe265,cb4d1e0c4864c2b0b8a0ce23f98360c86cc1dbda,a5b601c3f05b9357277a99abcce3c5d52e8e6f9d
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(266, 310, 67, 43, 65, 51)","(255, 307, 59, 44, 67, 50)","(307, 298, 81, 42, 71, 56)","(259, 308, 69, 40, 56, 61)","(266, 298, 73, 48, 62, 60)","(216, 302, 72, 68, 68, 57)","(244, 290, 43, 90, 73, 56)"
diagnostics_Mask-original_VoxelNum,39345,37789,40611,36937,38642,47022,50371
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,2
diagnostics_Mask-original_CenterOfMassIndex,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
diagnostics_Mask-original_CenterOfMass,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
