,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,9446f079b046181f26e69300b62d6242fbbcb21d,8934608e4e6af76343d592c3f45e185515f13d29,f6d481220e02990993a13b36c5dc8fdc394cbe6d,bb1727f2d2124e6a890978b6ce22f59d841682de,1cb514150cac88339f7c98596a30326350160dba,ca95eb943d3a97ff812f6fdc8e8f5144751a1ac8,9077df771ae1eb6502d0a779e4e551dc76858760
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 257)","(512, 512, 269)","(512, 512, 261)","(512, 512, 273)","(512, 512, 269)","(512, 512, 257)","(512, 512, 257)"
diagnostics_Image-original_Mean,-1143.1611046846738,-1187.4790706989047,-1122.1413475708944,-1076.0839174431321,-1125.308428980604,-1177.6789341937706,-1131.2596785103765
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,1348f74b8e6c1877300ff3ca765d188edfd05384,f3a3ffb2ab357057631631874d725dad29fd9656,981284f63f3e317db0ec2328a720e4d15462ca41,989462452afcf51c5c07f9989746ed8ce5584f2a,2c51d16437aa7d96caad7299b3f57f2e672e2273,5505170171966130350d35cc69f63ac6bdb15ef4,bd34a650df37a886803c110fcf8b82594f2be638
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 257)","(512, 512, 269)","(512, 512, 261)","(512, 512, 273)","(512, 512, 269)","(512, 512, 257)","(512, 512, 257)"
diagnostics_Mask-original_BoundingBox,"(259, 216, 96, 53, 34, 26)","(278, 219, 103, 35, 33, 26)","(271, 223, 99, 56, 38, 26)","(254, 214, 109, 62, 40, 26)","(245, 225, 100, 55, 35, 27)","(258, 230, 101, 46, 30, 26)","(256, 222, 97, 48, 32, 29)"
diagnostics_Mask-original_VoxelNum,11748,6596,13604,16971,13115,9291,11493
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(287.07541709227104, 231.59473953013278, 109.12955396663261)","(299.0568526379624, 232.6972407519709, 115.85430563978169)","(301.0826962658042, 241.8285063216701, 112.20993825345487)","(287.6874079311767, 233.8024276707324, 121.73006894113487)","(274.1777354174609, 242.58185284025924, 113.47670606176135)","(283.343881175331, 243.7127327521257, 113.63975890646863)","(280.6175933176716, 237.3726616201166, 111.34847298355521)"
diagnostics_Mask-original_CenterOfMass,"(287.07541709227104, 231.59473953013278, 109.12955396663261)","(299.0568526379624, 232.6972407519709, 115.85430563978169)","(301.0826962658042, 241.8285063216701, 112.20993825345487)","(287.6874079311767, 233.8024276707324, 121.73006894113487)","(274.1777354174609, 242.58185284025924, 113.47670606176135)","(283.343881175331, 243.7127327521257, 113.63975890646863)","(280.6175933176716, 237.3726616201166, 111.34847298355521)"
