,Pre,PreN1,PreN2,PreN3,PreN4,PreN5,PreN6
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,9446f079b046181f26e69300b62d6242fbbcb21d,8934608e4e6af76343d592c3f45e185515f13d29,f6d481220e02990993a13b36c5dc8fdc394cbe6d,bb1727f2d2124e6a890978b6ce22f59d841682de,1cb514150cac88339f7c98596a30326350160dba,ca95eb943d3a97ff812f6fdc8e8f5144751a1ac8,9077df771ae1eb6502d0a779e4e551dc76858760
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 257)","(512, 512, 269)","(512, 512, 261)","(512, 512, 273)","(512, 512, 269)","(512, 512, 257)","(512, 512, 257)"
diagnostics_Image-original_Mean,-1143.1611046846738,-1187.4790706989047,-1122.1413475708944,-1076.0839174431321,-1125.308428980604,-1177.6789341937706,-1131.2596785103765
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,a7bffa8b82ea4b2997f6cb0cfe40393cff819d5f,7fd2eeda292f1cbdbcb2d90edf47c3661ddc5ca1,b30d28eb084cdcd5ee7f0039ec8f3d2ac9ca959e,eb342c84d89d1028cde31e59d193ca13d495ee70,340b459f41091c648abecadf9eccbee6609bdc3f,ede5a5d02f13d126f1bb1e0eeea9c412b4aac938,c13653d576fae8c70f3d968813abf3f68b87be33
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 257)","(512, 512, 269)","(512, 512, 261)","(512, 512, 273)","(512, 512, 269)","(512, 512, 257)","(512, 512, 257)"
diagnostics_Mask-original_BoundingBox,"(269, 152, 96, 53, 34, 26)","(284, 165, 101, 45, 30, 26)","(277, 155, 98, 59, 37, 26)","(267, 142, 106, 63, 41, 26)","(252, 161, 99, 56, 35, 26)","(266, 175, 102, 49, 31, 25)","(266, 163, 103, 47, 32, 27)"
diagnostics_Mask-original_VoxelNum,11748,7979,13828,16646,12239,9068,9458
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(297.07541709227104, 167.59473953013278, 109.12955396663261)","(307.77979696703846, 178.82867527259054, 114.26945732547938)","(308.0051345096905, 172.81175875036158, 110.57831935203934)","(300.79712843926467, 161.29268292682926, 118.89222636068725)","(281.66443336873925, 178.19102867881364, 112.11291772203612)","(292.5052933392148, 188.57355535950595, 114.40835906484341)","(290.207972087122, 177.25407062803976, 116.95865933601185)"
diagnostics_Mask-original_CenterOfMass,"(297.07541709227104, 167.59473953013278, 109.12955396663261)","(307.77979696703846, 178.82867527259054, 114.26945732547938)","(308.0051345096905, 172.81175875036158, 110.57831935203934)","(300.79712843926467, 161.29268292682926, 118.89222636068725)","(281.66443336873925, 178.19102867881364, 112.11291772203612)","(292.5052933392148, 188.57355535950595, 114.40835906484341)","(290.207972087122, 177.25407062803976, 116.95865933601185)"
