,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8dd960e5ad284a3aa44975050f38a7304966aa70,b923c348793b9121160ab3ba5ece72e5b25cf83a
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 253)"
diagnostics_Image-original_Mean,-1144.8308935827138,-1045.0661318631983
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,c0a6608869412f9f075096da9971a65c07f6d61b,ce18c78fc7979c464d718da3066d1b13cc7e7d77
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 245)","(512, 512, 253)"
diagnostics_Mask-original_BoundingBox,"(275, 323, 161, 27, 23, 26)","(267, 317, 172, 34, 30, 28)"
diagnostics_Mask-original_VoxelNum,5446,8423
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(286.9987146529563, 334.1845391112743, 173.25615130370915)","(282.71340377537695, 331.74403419209307, 185.0458269025288)"
diagnostics_Mask-original_CenterOfMass,"(286.9987146529563, 334.1845391112743, 173.25615130370915)","(282.71340377537695, 331.74403419209307, 185.0458269025288)"
original_shape_Elongation,0.7042947010026257,0.6832428906754169
original_shape_Flatness,0.48345932162675753,0.3908915637940432
original_shape_LeastAxisLength,14.256711553743434,14.457423538426864
original_shape_MajorAxisLength,29.488957841938078,36.98576504977819
original_shape_Maximum2DDiameterColumn,28.319604517012593,32.69556544854363
original_shape_Maximum2DDiameterRow,32.01562118716424,38.28837943815329
original_shape_Maximum2DDiameterSlice,29.154759474226502,35.84689665786984
original_shape_Maximum3DDiameter,35.66510900025401,43.116122274620196
original_shape_MeshVolume,5398.416666666667,8363.583333333334
original_shape_MinorAxisLength,20.768916746166813,25.270261026452257
original_shape_Sphericity,0.6391196498958155,0.6059889372811527
original_shape_SurfaceArea,2328.5177635729524,3288.120218291023
original_shape_SurfaceVolumeRatio,0.43133346448612137,0.39314730149051214
original_shape_VoxelVolume,5446.0,8423.0
original_firstorder_10Percentile,-815.0,-891.0
original_firstorder_90Percentile,107.5,44.80000000000018
original_firstorder_Energy,1496640842.0,3716643903.0
original_firstorder_Entropy,5.349550397563413,5.097631117535102
original_firstorder_InterquartileRange,736.75,544.0
original_firstorder_Kurtosis,1.4831557833028983,2.1759986754515896
original_firstorder_Maximum,240.0,163.0
original_firstorder_MeanAbsoluteDeviation,327.8896636680855,299.6976257562889
original_firstorder_Mean,-380.1175174439956,-566.3833550991333
original_firstorder_Median,-441.0,-729.0
original_firstorder_Minimum,-985.0,-1024.0
original_firstorder_Range,1225.0,1187.0
original_firstorder_RobustMeanAbsoluteDeviation,284.0977361776573,236.36577992866944
original_firstorder_RootMeanSquared,524.2277152083641,664.2660796336228
original_firstorder_Skewness,0.15784543922218347,0.8166440338069041
original_firstorder_TotalEnergy,1496640842.0,3716643903.0
original_firstorder_Uniformity,0.02825288692277223,0.03889641227458908
original_firstorder_Variance,130325.37032479538,120459.31961847145
