,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,8dd960e5ad284a3aa44975050f38a7304966aa70,b923c348793b9121160ab3ba5ece72e5b25cf83a
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 253)"
diagnostics_Image-original_Mean,-1144.8308935827138,-1045.0661318631983
diagnostics_Image-original_Minimum,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0
diagnostics_Mask-original_Hash,9d943edc542e7e325987939ba329e32eaa3cbcae,b783e2fe99c88ddc5da6f6a25d8e2361b1ac34fe
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 245)","(512, 512, 253)"
diagnostics_Mask-original_BoundingBox,"(296, 210, 161, 27, 23, 26)","(286, 179, 170, 36, 28, 26)"
diagnostics_Mask-original_VoxelNum,5446,8456
diagnostics_Mask-original_VolumeNum,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(307.9987146529563, 221.18453911127432, 173.25615130370915)","(302.28062913907286, 192.88800851466414, 182.24846263008516)"
diagnostics_Mask-original_CenterOfMass,"(307.9987146529563, 221.18453911127432, 173.25615130370915)","(302.28062913907286, 192.88800851466414, 182.24846263008516)"
original_shape_Elongation,0.7042947010026257,0.7323918040499495
original_shape_Flatness,0.48345932162675753,0.4563885392866116
original_shape_LeastAxisLength,14.256711553743434,15.638834143984536
original_shape_MajorAxisLength,29.488957841938078,34.26649181074935
original_shape_Maximum2DDiameterColumn,28.319604517012593,34.48187929913333
original_shape_Maximum2DDiameterRow,32.01562118716424,33.97057550292606
original_shape_Maximum2DDiameterSlice,29.154759474226502,38.62641583165593
original_shape_Maximum3DDiameter,35.66510900025401,41.47288270665544
original_shape_MeshVolume,5398.416666666667,8367.666666666666
original_shape_MinorAxisLength,20.768916746166813,25.096497755737538
original_shape_Sphericity,0.6391196498958155,0.6141739961461472
original_shape_SurfaceArea,2328.5177635729524,3245.355528952242
original_shape_SurfaceVolumeRatio,0.43133346448612137,0.3878447431325629
original_shape_VoxelVolume,5446.0,8456.0
original_firstorder_10Percentile,-874.0,-906.0
original_firstorder_90Percentile,-496.5,-627.0
original_firstorder_Energy,3165994415.0,5470873810.0
original_firstorder_Entropy,4.140005175163749,3.9314407311913966
original_firstorder_InterquartileRange,112.0,87.0
original_firstorder_Kurtosis,9.094118123571388,12.394271411490795
original_firstorder_Maximum,191.0,156.0
original_firstorder_MeanAbsoluteDeviation,138.9935963944198,115.65322149538736
original_firstorder_Mean,-730.553617333823,-779.7727057710501
original_firstorder_Median,-802.0,-835.0
original_firstorder_Minimum,-1024.0,-1024.0
original_firstorder_Range,1215.0,1180.0
original_firstorder_RobustMeanAbsoluteDeviation,56.238382145793295,42.39066199271606
original_firstorder_RootMeanSquared,762.4585760829107,804.3514732834899
original_firstorder_Skewness,2.5333627786896407,3.022004188333431
original_firstorder_TotalEnergy,3165994415.0,5470873810.0
original_firstorder_Uniformity,0.0883545440433494,0.10083509249057282
original_firstorder_Variance,47634.49244284587,38935.81990781598
