,Pre,PreN1,PreN2,PreN3
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
diagnostics_Image-original_Mean,-650.0569134854723,-971.0189603638539,-1045.2156367507278,-1011.7876217315801
diagnostics_Image-original_Minimum,-1024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,8a8d0783ef1bb2e637f0cf52569562dc7202fdaa,a992443fd2b5a31c7cd71ef96af344058a5aeef9,c54f766a253ea3dbe81c9167f088a6385f2ce526,43a92e68f33745ea43f46dfb11c555586942ef3e
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
diagnostics_Mask-original_BoundingBox,"(221, 204, 83, 31, 33, 17)","(228, 228, 108, 37, 41, 20)","(194, 197, 103, 32, 33, 21)","(201, 213, 139, 30, 32, 21)"
diagnostics_Mask-original_VoxelNum,4625,8137,6085,5736
diagnostics_Mask-original_VolumeNum,1,1,1,1
