,Pre,PreN1,PreN2,PreN3,PreN4
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
diagnostics_Image-original_Mean,-1136.2006091186265,-1274.291879744757,-1085.290666970862,-934.7661529093872,-1025.8209990616683
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,389a31ce2fe187c3ed82b693fd1df6d5bd60f03c,ae978de6ce7bc6b1674702a15f1d4cc3d5272513,861a63495e65d11c61f9678724e5d1169701a546,3ed4ef1b92adb691469ff52c7e98377924ba8af9,c6fc671c82f9389c2e31c827711d3c21b71d03b6
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
diagnostics_Mask-original_BoundingBox,"(271, 272, 190, 31, 24, 28)","(279, 273, 209, 33, 25, 31)","(249, 290, 199, 34, 27, 31)","(278, 284, 216, 51, 36, 32)","(271, 276, 217, 41, 30, 31)"
diagnostics_Mask-original_VoxelNum,7094,8807,10907,20335,14313
diagnostics_Mask-original_VolumeNum,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(285.70397519030166, 283.6010713278827, 203.8092754440372)","(294.19007607584876, 285.36925173157715, 224.19666174633815)","(264.5515723847071, 303.3567433758137, 214.83065920968187)","(302.4921072043275, 301.20245881485124, 231.9736906810917)","(290.0217284985677, 290.4426744917208, 231.9943408090547)"
diagnostics_Mask-original_CenterOfMass,"(285.70397519030166, 283.6010713278827, 203.8092754440372)","(294.19007607584876, 285.36925173157715, 224.19666174633815)","(264.5515723847071, 303.3567433758137, 214.83065920968187)","(302.4921072043275, 301.20245881485124, 231.9736906810917)","(290.0217284985677, 290.4426744917208, 231.9943408090547)"
original_shape_Elongation,0.7273054175611658,0.6941096111459336,0.738531426169361,0.6840771383904641,0.71978846438921
original_shape_Flatness,0.5864957259252421,0.5963587652296297,0.6241689630488375,0.49874250974978857,0.5964984095261631
original_shape_LeastAxisLength,17.152665444280448,18.831565970612132,20.40850308470167,22.13469558304747,21.801939526780927
original_shape_MajorAxisLength,29.2460195122834,31.577578914868443,32.69708090740941,44.38100853715499,36.549870340978124
original_shape_Maximum2DDiameterColumn,33.12099032335839,35.0,37.64306044943742,51.07837115648854,43.46262762420146
original_shape_Maximum2DDiameterRow,28.42534080710379,30.805843601498726,31.622776601683793,36.76955262170047,33.60059523282288
original_shape_Maximum2DDiameterSlice,27.85677655436824,30.364452901377952,33.83784863137726,47.43416490252569,37.12142238654117
original_shape_Maximum3DDiameter,34.942810419312295,36.66060555964672,39.774363602702685,53.777318638995006,45.617978911828175
original_shape_MeshVolume,7014.0,8713.208333333334,10835.291666666666,20206.458333333332,14255.791666666666
