,Pre,PreN1,PreN2,PreN3,PreN4
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
diagnostics_Image-original_Mean,-1136.2006091186265,-1274.291879744757,-1085.290666970862,-934.7661529093872,-1025.8209990616683
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,023216037f13b7bddf4e81265c551d9db9eae1bd,58a7b78c353f578de08f406092483cc4cca343d5,ecf4bba6698b7fd997a5f682e909f2e337484279,f8c2f03a028c2805ccf23fcdee977d466857670b,707b04e626e2cece157f30a9e5fd6995865d5cd9
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
diagnostics_Mask-original_BoundingBox,"(271, 196, 190, 31, 24, 28)","(272, 204, 211, 35, 26, 29)","(249, 215, 199, 38, 27, 29)","(277, 188, 216, 44, 36, 32)","(261, 191, 213, 42, 31, 31)"
diagnostics_Mask-original_VoxelNum,7105,8147,10051,17829,13718
diagnostics_Mask-original_VolumeNum,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(286.23391977480645, 207.22040816326532, 203.81984517945108)","(289.878114643427, 216.64416349576533, 225.67791825211734)","(267.630285543727, 227.6973435479057, 213.86270022883295)","(299.5337932581749, 205.1410623142072, 231.98827752538)","(282.0309811925937, 205.5016037323225, 228.60919959177724)"
diagnostics_Mask-original_CenterOfMass,"(286.23391977480645, 207.22040816326532, 203.81984517945108)","(289.878114643427, 216.64416349576533, 225.67791825211734)","(267.630285543727, 227.6973435479057, 213.86270022883295)","(299.5337932581749, 205.1410623142072, 231.98827752538)","(282.0309811925937, 205.5016037323225, 228.60919959177724)"
original_shape_Elongation,0.727149132373178,0.6858183663354032,0.6836985388556728,0.7926012594706626,0.7417758203503014
original_shape_Flatness,0.5860760163818903,0.5565456276173245,0.557351058395104,0.6598379551494256,0.6489993707326303
original_shape_LeastAxisLength,17.132929272059126,17.717553482741813,19.097286974693176,24.59415699955065,22.85800699741076
original_shape_MajorAxisLength,29.23328850381623,31.834862414774435,34.264377338196745,37.27302560820574,35.2203839144054
original_shape_Maximum2DDiameterColumn,33.12099032335839,38.07886552931954,39.92492955535426,47.4236228055175,44.598206241955516
original_shape_Maximum2DDiameterRow,28.42534080710379,30.083217912982647,30.01666203960727,38.948684188300895,33.83784863137726
original_shape_Maximum2DDiameterSlice,27.85677655436824,29.732137494637012,34.20526275297414,40.85339643163099,37.656340767525464
original_shape_Maximum3DDiameter,34.72751070837067,38.13135192987524,41.09744517606904,48.03123983409131,44.87761134463375
original_shape_MeshVolume,7032.375,8083.333333333333,10003.166666666666,17691.25,13652.25
