,Pre,PreN1,PreN2,PreN3,PreN4
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,033088426a85f676a3ace65e998d85e1c217bfe8,17cf530605cf63edaebab3f013c6f9c21017cfa8,1fdd8ccfcf2af920b67629f35c2189f6b364f612,3ea681edbc43f76310b1983d150909e26096ac05,304f7581bf544cb9305052603b91ad9bb1ae0016
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
diagnostics_Image-original_Mean,-845.8929470650293,-1046.887881328782,-986.8247804020557,-1092.1118553129963,-1056.661535935778
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,2acfe9149f5d7c1a7ba8e17ef82a9c3e5dcf8a74,e1d544319d8b2b7d54d8f060ec64f8be7a4e3339,51e1d4d048485e3684a6b2b91d2e5540ddc754ed,8014749e22dff1d22ef3e907f17def03b7f472e4,8c0f8950dc06a0eaf49b59b168f2391e0e9d2672
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
diagnostics_Mask-original_BoundingBox,"(216, 136, 141, 47, 35, 23)","(227, 163, 124, 33, 26, 27)","(183, 157, 126, 48, 31, 45)","(185, 163, 94, 32, 25, 51)","(179, 168, 92, 33, 30, 48)"
diagnostics_Mask-original_VoxelNum,11702,7856,20188,12472,10226
diagnostics_Mask-original_VolumeNum,1,1,1,3,2
diagnostics_Mask-original_CenterOfMassIndex,"(238.90010254657324, 154.16450179456504, 150.46308323363527)","(242.04136965376782, 176.83846741344195, 135.85310590631366)","(207.0620665742025, 172.21795125817317, 148.66177927481672)","(200.1258017960231, 174.27164849262348, 121.26499358563181)","(193.98112654019167, 182.6398396244866, 123.60375513397223)"
diagnostics_Mask-original_CenterOfMass,"(238.90010254657324, 154.16450179456504, 150.46308323363527)","(242.04136965376782, 176.83846741344195, 135.85310590631366)","(207.0620665742025, 172.21795125817317, 148.66177927481672)","(200.1258017960231, 174.27164849262348, 121.26499358563181)","(193.98112654019167, 182.6398396244866, 123.60375513397223)"
original_shape_Elongation,0.5938057476932235,0.7019180708504564,0.6897914091970143,0.5878758352724525,0.8364135455979814
original_shape_Flatness,0.38903597518489175,0.5142066284546171,0.5376213750365477,0.3865401235762293,0.7037637573824748
original_shape_LeastAxisLength,16.603990235344856,16.54358427520563,23.74956303520438,17.57494960573626,22.529642874741842
original_shape_MajorAxisLength,42.679832443397316,32.17302803918588,44.17525816117314,45.46733581790848,32.01307631773605
original_shape_Maximum2DDiameterColumn,48.27007354458868,37.21558813185679,56.302753041036986,51.03920062069938,50.15974481593781
original_shape_Maximum2DDiameterRow,32.38826948140329,26.92582403567252,44.721359549995796,51.35172830587107,47.29693436154187
original_shape_Maximum2DDiameterSlice,44.94441010848846,34.48187929913333,36.345563690772494,29.017236257093817,32.202484376209235
original_shape_Maximum3DDiameter,48.36320915737499,37.70941526992961,57.105166141076936,51.86520991955976,50.41825066382212
original_shape_MeshVolume,11600.791666666666,7827.291666666667,20077.875,12378.583333333334,10167.666666666666
