,Pre,PreN1,PreN2,PreN3,PreN4
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2,2.0.2,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6,3.6.6,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,033088426a85f676a3ace65e998d85e1c217bfe8,17cf530605cf63edaebab3f013c6f9c21017cfa8,1fdd8ccfcf2af920b67629f35c2189f6b364f612,3ea681edbc43f76310b1983d150909e26096ac05,304f7581bf544cb9305052603b91ad9bb1ae0016
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
diagnostics_Image-original_Mean,-845.8929470650293,-1046.887881328782,-986.8247804020557,-1092.1118553129963,-1056.661535935778
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d73372abd714e3a10f4cd713a3dd7e6f08ea76a3,ca673372ed8977e496cfe9b2fe29f24ab11f5b9b,d8765c3cdea26af9d27f20cf9943317344551bbc,a1fc58e44747c31963261905c23562f7a6fc4446,9b24399e74c57ea1dcbbb989515b50fb347feb33
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
diagnostics_Mask-original_BoundingBox,"(182, 321, 141, 44, 36, 23)","(201, 307, 132, 35, 32, 23)","(188, 322, 159, 35, 33, 19)","(186, 302, 132, 33, 30, 22)","(191, 315, 124, 36, 31, 24)"
diagnostics_Mask-original_VoxelNum,11664,7714,7294,6487,7365
diagnostics_Mask-original_VolumeNum,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(204.2380829903978, 338.7478566529492, 150.45670438957475)","(219.33795696136895, 322.4119782214156, 142.1095410941146)","(205.6480669043049, 338.0967918837401, 166.68700301617767)","(203.38153229535996, 316.56127639895175, 141.12394018806845)","(210.51690427698574, 330.06476578411406, 134.45974202308216)"
diagnostics_Mask-original_CenterOfMass,"(204.2380829903978, 338.7478566529492, 150.45670438957475)","(219.33795696136895, 322.4119782214156, 142.1095410941146)","(205.6480669043049, 338.0967918837401, 166.68700301617767)","(203.38153229535996, 316.56127639895175, 141.12394018806845)","(210.51690427698574, 330.06476578411406, 134.45974202308216)"
original_shape_Elongation,0.5955897258698715,0.6378721184598596,0.631555572829057,0.6659940384761325,0.6712460451921508
original_shape_Flatness,0.38977579273982554,0.4473274871292575,0.40752770528837445,0.4610479383357765,0.45176801827825336
original_shape_LeastAxisLength,16.60820805961236,15.51765804167325,14.31198375023011,14.744038343261186,15.123211578215264
original_shape_MajorAxisLength,42.609644746969444,34.68970382584459,35.11904482690981,31.979404129822296,33.47561351476758
original_shape_Maximum2DDiameterColumn,43.93176527297759,35.510561809129406,35.4400902933387,32.28002478313795,34.36568055487916
original_shape_Maximum2DDiameterRow,33.13608305156178,29.274562336608895,29.154759474226502,27.073972741361768,29.0
original_shape_Maximum2DDiameterSlice,44.91102314577124,35.4682957019364,37.0,34.17601498127012,35.11409973215888
original_shape_Maximum3DDiameter,48.4458460551573,39.824615503479755,41.48493702538308,37.21558813185679,38.44476557348217
original_shape_MeshVolume,11576.0,7649.916666666667,7217.875,6411.375,7300.208333333333
original_shape_MinorAxisLength,25.37786663426014,22.127594868136583,22.179628472868355,21.29809250448066,22.47037318216865
