0,Combat,Original,,,
diagnostics_Image-original_Mean,0.015682309,0.000780575,BETTER,total ,112
diagnostics_Image-original_Minimum,1.75E-33,0.002899358,FALSE,better,95
diagnostics_Image-original_Maximum,0.002453074,0.001730767,BETTER,,
diagnostics_Mask-original_VoxelNum,0.999901179,0.999918065,FALSE,,
diagnostics_Mask-original_VolumeNum,0.041171341,0.009113074,BETTER,,
original_shape_Elongation,0.028615571,0.031409362,FALSE,,
original_shape_Flatness,0.000224469,2.22E-05,BETTER,,
original_shape_LeastAxisLength,0.474262612,0.461896666,BETTER,,
original_shape_MajorAxisLength,0.457253177,0.459294419,FALSE,,
original_shape_Maximum2DDiameterColumn,0.59627273,0.519223828,BETTER,,
original_shape_Maximum2DDiameterRow,0.584927251,0.551057587,BETTER,,
original_shape_Maximum2DDiameterSlice,0.596516232,0.557214456,BETTER,,
original_shape_Maximum3DDiameter,0.602566365,0.554164449,BETTER,,
original_shape_MeshVolume,1,1,FALSE,,
original_shape_MinorAxisLength,0.544669226,0.514536779,BETTER,,
original_shape_Sphericity,0.028776343,0.019317338,BETTER,,
original_shape_SurfaceArea,0.845540678,0.789271401,BETTER,,
original_shape_SurfaceVolumeRatio,0.250657721,0.216239642,BETTER,,
original_shape_VoxelVolume,0.999901179,0.999918065,FALSE,,
original_firstorder_10Percentile,0.130675212,0.099520639,BETTER,,
original_firstorder_90Percentile,0.108966527,0.092983078,BETTER,,
original_firstorder_Energy,0.191983187,0.128658302,BETTER,,
original_firstorder_Entropy,0.010476278,0.003770228,BETTER,,
original_firstorder_InterquartileRange,0.031732888,0.00823934,BETTER,,
original_firstorder_Kurtosis,0.097830506,0.050460431,BETTER,,
original_firstorder_Maximum,0.079818698,0.08293368,FALSE,,
original_firstorder_MeanAbsoluteDeviation,0.012084013,0.002361208,BETTER,,
original_firstorder_Mean,0.160271269,0.129417284,BETTER,,
original_firstorder_Median,0.178637381,0.149105693,BETTER,,
original_firstorder_Minimum,0.113684445,0.099563111,BETTER,,
original_firstorder_Range,0.1635053,0.165027914,FALSE,,
original_firstorder_RobustMeanAbsoluteDeviation,0.022681809,0.005238927,BETTER,,
original_firstorder_RootMeanSquared,0.133155761,0.098877124,BETTER,,
original_firstorder_Skewness,0.272245713,0.254797267,BETTER,,
original_firstorder_TotalEnergy,0.191983187,0.128658302,BETTER,,
original_firstorder_Uniformity,0.044244386,0.021746645,BETTER,,
original_firstorder_Variance,0.003077039,3.51E-05,BETTER,,
original_glcm_Autocorrelation,0.458371571,0.452124745,BETTER,,
original_glcm_ClusterProminence,0.011930824,0.001832675,BETTER,,
original_glcm_ClusterShade,0.156482788,0.07777159,BETTER,,
original_glcm_ClusterTendency,0.004808227,0.000210302,BETTER,,
original_glcm_Contrast,0.106937446,0.070766153,BETTER,,
original_glcm_Correlation,0.222344362,0.172799195,BETTER,,
original_glcm_DifferenceAverage,0.176970408,0.132003681,BETTER,,
original_glcm_DifferenceEntropy,0.110157965,0.076097196,BETTER,,
original_glcm_DifferenceVariance,0.05070024,0.029373888,BETTER,,
original_glcm_Id,0.290339354,0.227592291,BETTER,,
original_glcm_Idm,0.304483633,0.236870421,BETTER,,
original_glcm_Idmn,0.217064459,0.191562073,BETTER,,
original_glcm_Idn,0.308867198,0.265936748,BETTER,,
original_glcm_Imc1,0.067917412,0.052111736,BETTER,,
original_glcm_Imc2,0.110550684,0.067529117,BETTER,,
