0,Combat,Rider,,,,,
diagnostics_Image-original_Mean,0.015682309,0.075959367,FALSE,,,,
diagnostics_Image-original_Minimum,1.75E-33,,Better,,,total ,112
diagnostics_Image-original_Maximum,0.002453074,0.150334306,FALSE,,,better,50
diagnostics_Mask-original_VoxelNum,0.999901179,0.999999158,FALSE,,,,
diagnostics_Mask-original_VolumeNum,0.041171341,,Better,,,,
original_shape_Elongation,0.028615571,0.015076247,Better,,,,
original_shape_Flatness,0.000224469,0.014015873,FALSE,,,,
original_shape_LeastAxisLength,0.474262612,0.69153229,FALSE,,,,
original_shape_MajorAxisLength,0.457253177,0.752422116,FALSE,,,,
original_shape_Maximum2DDiameterColumn,0.59627273,0.8318274,FALSE,,,,
original_shape_Maximum2DDiameterRow,0.584927251,0.815286335,FALSE,,,,
original_shape_Maximum2DDiameterSlice,0.596516232,0.80429255,FALSE,,,,
original_shape_Maximum3DDiameter,0.602566365,0.792484854,FALSE,,,,
original_shape_MeshVolume,1,1,Better,,,,
original_shape_MinorAxisLength,0.544669226,0.869881611,FALSE,,,,
original_shape_Sphericity,0.028776343,0.002824133,Better,,,,
original_shape_SurfaceArea,0.845540678,0.919500794,FALSE,,,,
original_shape_SurfaceVolumeRatio,0.250657721,0.378786461,FALSE,,,,
original_shape_VoxelVolume,0.999901179,0.999999158,FALSE,,,,
original_firstorder_10Percentile,0.130675212,0.429141334,FALSE,,,,
original_firstorder_90Percentile,0.108966527,0.034224862,Better,,,,
original_firstorder_Energy,0.191983187,0.897896004,FALSE,,,,
original_firstorder_Entropy,0.010476278,0.355998597,FALSE,,,,
original_firstorder_InterquartileRange,0.031732888,0.280215593,FALSE,,,,
original_firstorder_Kurtosis,0.097830506,0.228741342,FALSE,,,,
original_firstorder_Maximum,0.079818698,0.225327051,FALSE,,,,
original_firstorder_MeanAbsoluteDeviation,0.012084013,0.398948855,FALSE,,,,
original_firstorder_Mean,0.160271269,0.235816782,FALSE,,,,
original_firstorder_Median,0.178637381,0.10019183,Better,,,,
original_firstorder_Minimum,0.113684445,0.021403717,Better,,,,
original_firstorder_Range,0.1635053,0.225888847,FALSE,,,,
original_firstorder_RobustMeanAbsoluteDeviation,0.022681809,0.328560421,FALSE,,,,
original_firstorder_RootMeanSquared,0.133155761,0.331587892,FALSE,,,,
original_firstorder_Skewness,0.272245713,0.114924224,Better,,,,
original_firstorder_TotalEnergy,0.191983187,0.897896004,FALSE,,,,
original_firstorder_Uniformity,0.044244386,0.252136835,FALSE,,,,
original_firstorder_Variance,0.003077039,0.379895112,FALSE,,,,
original_glcm_Autocorrelation,0.458371571,0.212620649,Better,,,,
original_glcm_ClusterProminence,0.011930824,0.116845281,FALSE,,,,
original_glcm_ClusterShade,0.156482788,0.071163044,Better,,,,
original_glcm_ClusterTendency,0.004808227,0.379379125,FALSE,,,,
original_glcm_Contrast,0.106937446,0.24392603,FALSE,,,,
original_glcm_Correlation,0.222344362,0.136666121,Better,,,,
original_glcm_DifferenceAverage,0.176970408,0.238151602,FALSE,,,,
original_glcm_DifferenceEntropy,0.110157965,0.258879112,FALSE,,,,
original_glcm_DifferenceVariance,0.05070024,0.265588282,FALSE,,,,
original_glcm_Id,0.290339354,0.125476495,Better,,,,
original_glcm_Idm,0.304483633,0.097282057,Better,,,,
original_glcm_Idmn,0.217064459,0.360175555,FALSE,,,,
original_glcm_Idn,0.308867198,0.383339618,FALSE,,,,
original_glcm_Imc1,0.067917412,0.218446585,FALSE,,,,
original_glcm_Imc2,0.110550684,0.549605138,FALSE,,,,
original_glcm_InverseVariance,0.256489715,0.102640064,Better,,,,
original_glcm_JointAverage,0.428142562,0.192007363,Better,,,,
original_glcm_JointEnergy,0.006904486,0.095459484,FALSE,,,,
original_glcm_JointEntropy,0.004917705,0.206184118,FALSE,,,,
original_glcm_MCC,0.041624772,0.0093803,Better,,,,
original_glcm_MaximumProbability,0.039583227,0.011491234,Better,,,,
original_glcm_SumAverage,0.428142562,0.192007363,Better,,,,
original_glcm_SumEntropy,0.002422164,0.362704428,FALSE,,,,
original_glcm_SumSquares,0.021443695,0.363120673,FALSE,,,,
original_gldm_DependenceEntropy,0.23731986,0.213811718,Better,,,,
original_gldm_DependenceNonUniformity,0.822314331,0.974525802,FALSE,,,,
original_gldm_DependenceNonUniformityNormalized,0.264093675,0.146047399,Better,,,,
original_gldm_DependenceVariance,0.370954514,0.0200991,Better,,,,
original_gldm_GrayLevelNonUniformity,0.894354374,0.962833049,FALSE,,,,
original_gldm_GrayLevelVariance,0.002989602,0.381246163,FALSE,,,,
original_gldm_HighGrayLevelEmphasis,0.458488568,0.234168307,Better,,,,
original_gldm_LargeDependenceEmphasis,0.455539385,0.091797268,Better,,,,
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.62713971,0.112444512,Better,,,,
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.070898315,0.017030759,Better,,,,
original_gldm_LowGrayLevelEmphasis,0.147165139,0.12123523,Better,,,,
original_gldm_SmallDependenceEmphasis,0.286937615,0.240370709,Better,,,,
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.100164209,0.000409706,Better,,,,
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.172767069,0.181493249,FALSE,,,,
original_glrlm_GrayLevelNonUniformity,0.927885785,0.97697748,FALSE,,,,
original_glrlm_GrayLevelNonUniformityNormalized,0.007614873,0.272220329,FALSE,,,,
original_glrlm_GrayLevelVariance,0.000122414,0.389929735,FALSE,,,,
original_glrlm_HighGrayLevelRunEmphasis,0.451282059,0.242093236,Better,,,,
original_glrlm_LongRunEmphasis,0.477357914,0.1267651,Better,,,,
original_glrlm_LongRunHighGrayLevelEmphasis,0.604116575,0.231996886,Better,,,,
original_glrlm_LongRunLowGrayLevelEmphasis,0.143928002,0.092316785,Better,,,,
original_glrlm_LowGrayLevelRunEmphasis,0.152901608,0.131743512,Better,,,,
original_glrlm_RunEntropy,0.113723201,0.411163591,FALSE,,,,
original_glrlm_RunLengthNonUniformity,0.968705505,0.997465732,FALSE,,,,
original_glrlm_RunLengthNonUniformityNormalized,0.407305947,0.149411198,Better,,,,
original_glrlm_RunPercentage,0.433629136,0.137176786,Better,,,,
original_glrlm_RunVariance,0.481059212,0.114798302,Better,,,,
original_glrlm_ShortRunEmphasis,0.42678592,0.145892742,Better,,,,
original_glrlm_ShortRunHighGrayLevelEmphasis,0.403197221,0.238313479,Better,,,,
original_glrlm_ShortRunLowGrayLevelEmphasis,0.154378107,0.140334783,Better,,,,
original_glszm_GrayLevelNonUniformity,0.87034488,0.961559816,FALSE,,,,
original_glszm_GrayLevelNonUniformityNormalized,0.035436058,0.512213251,FALSE,,,,
original_glszm_GrayLevelVariance,0.001218933,0.340439248,FALSE,,,,
original_glszm_HighGrayLevelZoneEmphasis,0.367474429,0.330729476,Better,,,,
original_glszm_LargeAreaEmphasis,0.630402131,0.096404381,Better,,,,
original_glszm_LargeAreaHighGrayLevelEmphasis,0.596050236,0.096192433,Better,,,,
original_glszm_LargeAreaLowGrayLevelEmphasis,0.369085306,0.092469113,Better,,,,
original_glszm_LowGrayLevelZoneEmphasis,0.202219989,0.167192116,Better,,,,
original_glszm_SizeZoneNonUniformity,0.731632128,0.979321778,FALSE,,,,
original_glszm_SizeZoneNonUniformityNormalized,0.022463534,0.364486877,FALSE,,,,
original_glszm_SmallAreaEmphasis,0.018139708,0.397692116,FALSE,,,,
original_glszm_SmallAreaHighGrayLevelEmphasis,0.33434417,0.222531756,Better,,,,
original_glszm_SmallAreaLowGrayLevelEmphasis,0.207498355,0.188712872,Better,,,,
original_glszm_ZoneEntropy,0.139695236,0.034093985,Better,,,,
original_glszm_ZonePercentage,0.291865661,0.223674306,Better,,,,
original_glszm_ZoneVariance,0.630019018,0.09635743,Better,,,,
original_ngtdm_Busyness,0.146943732,0.96863982,FALSE,,,,
original_ngtdm_Coarseness,0.070538056,0.13496673,FALSE,,,,
original_ngtdm_Complexity,0.01703466,0.022872864,FALSE,,,,
original_ngtdm_Contrast,0.133484481,0.303615994,FALSE,,,,
original_ngtdm_Strength,0.114139602,0.153222951,FALSE,,,,
